,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,2,2,2,6,6,6,6,6,6
1,0,0,0,0,0,7,7,7,7,7
2,2,2,3,3,6,6,6,6,6,6
3,0,3,3,3,3,3,3,3,3,3
4,2,2,2,5,6,6,6,6,6,6
5,0,0,4,4,4,4,4,4,4,4
6,0,0,0,0,0,7,7,7,7,7
7,0,3,4,4,4,4,8,8,8,8
8,0,3,4,4,4,4,8,8,8,8
9,0,3,3,3,3,3,3,3,3,3
10,0,0,4,4,4,4,4,4,4,4
11,0,1,4,4,4,4,4,4,4,4
12,0,0,4,4,4,4,4,4,4,4
13,1,3,3,3,3,3,3,3,3,3
14,2,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,0,3,11
20,2,2,2,2,2,2,2,2,2,2
21,2,2,4,4,2,2,2,2,2,2
22,99,99,99,99,99,99,99,99,99,99
23,1,3,3,5,3,3,3,3,3,3
24,1,1,1,1,5,1,5,5,5,5
25,1,1,1,1,5,1,5,5,5,5
26,2,2,2,2,2,2,2,2,2,2
27,2,2,2,2,2,2,2,2,2,2
28,1,1,1,5,1,5,1,1,1,1
29,1,1,1,5,1,5,1,1,1,1
30,1,3,3,5,1,5,1,1,1,1
31,0,3,3,0,0,0,0,0,0,0
32,0,3,3,5,3,3,3,9,10,10
33,1,1,1,1,5,1,5,5,5,5
34,1,1,1,1,5,1,5,5,10,10
35,2,2,2,5,6,6,6,6,6,6
36,0,3,1,4,4,4,8,8,8,8
37,0,0,4,3,0,0,8,9,9,9
38,1,1,1,1,5,1,5,5,5,5
39,1,1,1,1,5,1,5,5,5,5
40,1,1,1,5,1,5,1,1,1,1
41,1,1,1,1,5,1,5,5,5,5
42,99,99,99,99,99,99,99,99,99,99
43,1,3,3,5,1,5,1,1,1,1
44,99,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99,99
46,1,1,1,1,5,1,5,5,5,5
47,0,0,0,0,0,0,8,9,9,9
48,1,1,1,5,1,5,1,1,1,1
49,1,3,3,5,1,5,1,1,1,1
50,1,1,1,1,5,1,5,5,5,5
51,1,1,1,1,5,1,5,5,5,5
52,0,0,0,0,0,0,0,5,0,11
53,1,1,1,1,5,1,5,5,5,5
54,1,3,3,5,1,5,1,1,1,1
55,99,99,99,99,99,99,99,99,99,99
