,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,0,1,4,4,4,4,4,4,4,4,4,4,0,0
1,0,0,0,0,6,0,6,6,10,10,10,10,1,1
2,0,0,4,4,4,4,4,4,10,10,10,13,0,0
3,0,3,3,3,3,3,3,3,3,3,3,3,1,2
4,0,0,4,4,4,4,4,4,4,4,4,4,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,0,3
6,0,0,0,0,6,7,6,6,10,10,10,10,1,1
7,1,1,1,1,1,1,1,1,1,11,1,1,0,4
8,1,1,4,4,4,5,5,9,9,11,11,11,3,4
9,2,3,3,3,3,3,3,3,3,3,3,3,1,2
10,1,1,1,1,1,1,5,9,9,9,9,9,3,4
11,1,3,4,4,4,5,5,9,9,9,9,9,3,4
12,1,1,1,1,1,1,1,1,1,1,1,1,0,3
13,0,3,3,3,3,3,3,3,3,3,3,3,1,2
14,2,3,3,3,3,6,6,6,6,6,6,6,1,2
15,1,1,1,1,1,1,1,1,1,1,1,1,0,3
16,1,1,1,1,1,1,1,1,1,1,1,1,0,3
17,1,1,1,1,1,1,1,1,1,1,1,1,0,3
18,1,1,1,1,1,1,1,1,1,1,1,1,0,3
19,1,1,1,1,1,1,1,1,1,1,1,1,0,3
20,1,1,1,1,1,1,1,1,1,1,1,1,0,3
21,2,3,3,3,3,3,3,3,3,3,3,3,1,2
22,1,1,1,1,1,1,1,1,1,1,1,1,0,3
23,2,3,3,3,3,3,3,3,3,3,3,3,1,2
24,2,2,2,2,6,6,6,6,6,6,6,6,1,2
25,2,0,0,0,6,6,6,6,6,6,6,6,1,2
26,0,3,3,3,3,3,3,7,7,3,12,12,1,2
27,2,2,2,2,2,2,2,2,2,2,2,2,2,5
28,2,2,2,2,2,2,2,2,2,2,2,2,2,5
29,2,2,2,2,2,2,2,2,2,2,2,2,2,5
30,2,2,2,2,2,2,2,2,2,2,2,2,2,5
31,0,0,4,4,4,4,4,5,10,10,10,13,0,0
32,2,2,2,2,2,2,2,2,2,2,2,2,2,5
33,2,2,2,2,2,2,2,2,2,2,2,2,2,5
34,2,2,2,2,2,2,2,2,2,2,2,2,2,5
35,2,2,4,4,4,4,4,4,4,4,4,4,0,0
36,0,0,4,4,4,6,8,8,8,11,11,11,3,4
37,0,0,0,0,0,0,8,8,8,8,8,8,2,4
38,2,2,2,2,2,2,2,2,2,2,12,12,2,1
39,0,3,4,4,4,5,5,9,9,11,11,9,3,4
40,0,0,0,5,5,5,4,5,5,5,5,5,2,1
41,0,0,0,5,5,5,4,5,5,5,5,5,2,1
42,0,0,0,5,5,5,5,5,5,5,5,5,2,1
43,0,3,3,5,5,7,7,7,7,7,12,12,2,1
44,2,2,2,2,2,2,2,2,2,2,2,2,2,5
45,2,2,2,2,2,2,2,2,2,2,2,2,2,5
46,2,3,4,4,4,3,5,9,9,9,9,9,3,4
47,0,0,4,4,6,6,8,8,8,8,8,8,2,4
48,2,2,2,2,2,2,2,8,2,2,2,2,2,5
49,2,2,2,2,2,2,2,2,2,2,2,2,2,5
50,2,2,2,2,2,7,7,7,7,7,12,12,2,5
51,0,0,0,0,6,7,7,7,7,7,7,7,3,1
52,0,0,0,0,0,0,0,0,0,0,0,13,3,1
53,0,0,0,0,6,7,7,7,7,7,7,7,2,1
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1576443559984297,0.18948933161895143,0.2021541590339224,0.203100575253216,0.2081538098357629,0.18650394001351936,0.20212346918125626,0.1973209807696376,0.2062169023008428,0.19889613398187642,0.19307799396986247,0.19416331018535357,0.24210726417033432,0.21977405766987668
NMI,0.27582226295248213,0.4041295768273015,0.52537444130185207,0.5760334153520611,0.63595296212284669,0.55410988710491293,0.68224555512354856,0.68228560662201176,0.67310931131698304,0.68461388726770744,0.68347183607652662,0.69106911447345332,1.0,0.66159330726593757
