,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,5,5,5,0,0
1,1,3,4,4,6,6,0,1
2,2,2,4,4,4,4,0,2
3,1,1,1,1,1,1,0,3
4,2,2,2,5,5,5,0,0
5,0,0,4,5,6,6,0,4
6,1,3,3,3,6,6,0,1
7,0,3,3,3,3,7,0,4
8,1,3,3,3,1,7,0,3
9,1,1,4,4,6,3,0,5
10,0,3,3,3,3,3,0,6
11,1,3,3,3,3,6,0,3
12,0,3,3,3,6,6,0,6
13,1,3,4,4,3,3,0,3
14,2,2,2,2,2,2,1,5
15,2,2,2,2,2,2,1,7
16,2,2,2,2,4,4,1,4
17,2,2,2,2,2,2,1,7
18,2,2,2,2,2,2,1,7
19,2,2,2,2,2,2,1,4
20,2,2,2,2,2,2,1,7
21,2,2,2,2,2,2,1,4
22,1,1,1,1,1,1,1,3
23,0,3,4,4,3,4,0,6
24,0,3,3,3,3,3,0,6
25,1,1,1,1,1,1,3,3
26,2,2,2,2,2,2,1,4
27,1,1,1,1,1,1,3,8
28,1,1,1,1,1,1,3,8
29,1,1,1,1,1,1,3,8
30,0,0,4,4,4,4,0,2
31,1,1,1,1,1,1,3,3
32,0,0,4,4,4,4,0,2
33,1,1,1,1,1,1,3,8
34,1,1,1,1,1,1,3,8
35,1,1,1,1,1,1,3,3
36,1,1,1,1,1,1,3,8
37,1,1,1,1,1,1,3,8
38,1,1,1,1,1,1,3,8
39,1,1,1,1,1,1,3,8
40,1,1,1,1,1,1,3,8
41,1,1,1,1,1,1,3,2
42,1,1,1,1,1,1,3,8
43,99,99,99,99,99,99,99,99
44,1,1,1,1,1,1,3,8
45,1,1,1,1,1,1,3,8
46,1,1,1,1,1,1,3,8
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,3,8
49,1,1,1,1,1,1,3,8
50,1,1,1,1,1,1,3,3
51,1,1,1,1,1,1,3,8
52,1,1,1,1,1,1,1,3
53,1,1,1,1,1,1,3,8
54,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,3,2
Modularity,0.07301473991984024,0.10259232893964854,0.10578142256068794,0.10775731371540966,0.09707475311686727,0.10124865053244345,0.12637963210896436,0.06351689606108837
NMI,0.47837655542905322,0.5958916629537705,0.65226501443082929,0.70543768150942088,0.60788070230170144,0.62616425854168378,1.0,0.48735743890805266
