,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,6,0,9,10,11
2,2,2,2,5,5,5,5,5,5,5
3,2,2,2,2,2,2,2,2,2,2
4,0,0,0,0,6,0,0,0,9,10
5,2,2,2,1,1,2,2,2,2,1
6,0,0,0,5,5,7,7,7,7,11
7,0,3,4,4,4,4,4,4,4,4
8,2,2,2,2,2,2,2,2,7,7
9,1,1,1,1,1,1,1,1,1,1
10,2,2,2,2,6,2,2,2,2,2
11,1,1,1,1,1,1,1,1,1,1
12,2,2,2,2,2,2,2,2,2,2
13,1,1,1,1,1,1,1,1,1,1
14,0,0,3,3,6,6,8,8,8,8
15,0,0,3,3,6,6,6,6,6,6
16,0,0,4,4,4,4,4,4,4,4
17,1,1,3,3,6,7,8,8,8,8
18,1,1,1,1,1,1,1,1,1,1
19,0,0,1,2,2,7,7,7,7,7
20,2,2,3,5,5,5,5,5,5,5
21,1,1,1,1,1,1,1,1,1,1
22,2,2,3,5,5,5,5,5,5,5
23,0,3,4,4,4,4,4,4,4,4
24,0,3,4,4,4,4,4,4,4,4
25,2,2,2,2,5,2,2,2,2,5
26,0,0,3,3,6,6,6,6,6,6
27,0,2,2,2,2,7,7,7,7,7
28,2,2,2,5,5,2,2,2,2,5
29,0,3,3,3,3,3,7,7,7,7
30,2,2,2,2,2,2,2,2,2,2
31,2,2,2,5,5,5,5,5,5,5
32,2,2,2,5,5,5,5,5,5,5
33,2,2,4,2,2,2,2,2,2,2
34,2,3,3,3,3,3,3,3,3,3
35,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,0,0,0,0,10,10
38,0,0,0,0,0,0,0,0,10,10
39,2,3,3,3,3,3,3,3,3,3
40,2,3,3,3,3,3,3,3,3,3
41,0,0,0,0,0,0,0,9,9,9
42,2,3,3,3,3,3,3,3,3,3
43,0,0,3,3,3,3,3,3,3,3
44,2,3,3,3,3,3,3,3,3,3
45,0,0,0,0,6,6,6,6,6,6
46,0,0,4,4,4,4,4,4,4,4
47,0,0,3,3,0,0,0,0,0,11
48,0,3,3,3,0,2,2,9,9,9
49,0,3,4,4,4,4,4,4,4,4
50,2,3,3,3,3,3,3,3,3,3
51,0,0,0,0,0,0,0,0,0,10
52,1,1,1,1,1,1,1,1,1,1
53,0,3,4,4,4,4,4,4,4,4
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
