,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,
0,0,3,3,3,2,
1,99,99,99,99,99,
2,99,99,99,99,99,
3,2,2,4,4,24,
4,2,3,3,3,2,
5,2,3,4,4,2,
6,1,3,3,3,2,
7,0,3,3,3,2,
8,99,99,99,99,99,
9,2,2,2,2,24,
10,2,2,4,4,24,
11,99,99,99,99,99,
12,1,1,4,4,11,
13,2,1,4,5,11,
14,1,1,1,5,11,
15,99,99,99,99,99,
16,1,1,1,5,11,
17,99,99,99,99,99,
18,1,1,1,5,11,
19,1,1,1,5,11,
20,99,99,99,99,99,
21,1,1,1,5,11,
22,99,99,99,99,99,
23,2,2,2,2,24,
24,99,99,99,99,99,
25,99,99,99,99,99,
26,1,1,1,5,11,
27,1,1,1,1,12,
28,1,1,1,1,12,
29,1,1,1,1,12,
30,2,2,2,2,24,
31,2,2,2,2,24,
32,2,2,2,2,24,
33,2,2,2,2,24,
34,99,99,99,99,99,
35,2,2,4,4,2,
36,99,99,99,99,99,
37,99,99,99,99,99,
38,1,1,1,1,12,
39,99,99,99,99,99,
40,1,1,1,1,12,
41,99,99,99,99,99,
42,99,99,99,99,99,
43,2,2,4,4,24,
44,99,99,99,99,99,
45,99,99,99,99,99,
46,99,99,99,99,99,
47,99,99,99,99,99,
48,99,99,99,99,99,
49,1,1,1,1,12,
50,1,1,1,1,12,
51,1,1,1,5,12,
52,1,1,1,5,12,
53,2,2,4,4,24,
54,99,99,99,99,99,
55,99,99,99,99,99,
Modularity,0.030602864597406187,0.05188768102298345,0.0544490644780012,0.07918965149308924,0.10925610308010736,
NMI,0.54809082907210194,0.78161308147950681,0.6159883184683228,0.69549552541080972,1.0,
Silhoutte,0.49018118,0.52646065,0.5224324,0.59605603,0.62390409,
