,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,0,3,4,5,5,5,5,5,5,5,1,
1,0,0,2,2,2,7,8,8,8,8,1,
2,1,2,2,5,5,5,5,5,5,11,1,
3,2,2,2,2,2,2,2,4,4,11,1,
4,0,3,4,5,5,5,5,5,5,5,1,
5,0,0,0,0,0,0,0,0,0,0,2,
6,0,0,0,0,5,7,8,8,8,8,1,
7,0,0,3,5,5,5,7,7,7,7,1,
8,0,0,0,5,5,7,7,7,7,7,2,
9,2,2,2,2,2,2,2,6,4,11,1,
10,2,2,2,4,6,6,6,6,6,6,1,
11,0,0,0,0,6,6,6,6,6,6,1,
12,1,0,4,1,6,6,6,6,6,6,1,
13,2,2,2,2,2,7,2,6,4,11,1,
14,1,3,3,3,4,4,4,4,4,4,0,
15,2,3,3,3,3,3,3,3,3,3,0,
16,2,3,3,3,3,3,3,3,3,3,0,
17,2,3,3,3,3,3,3,3,3,3,0,
18,2,3,3,3,3,3,3,3,3,3,0,
19,2,3,3,3,3,3,3,3,3,3,0,
20,2,3,3,3,3,3,3,3,3,3,0,
21,0,0,0,0,0,5,8,8,8,8,0,
22,2,3,3,3,3,3,3,3,3,3,0,
23,2,2,4,4,4,4,4,4,4,4,1,
24,0,2,4,4,4,4,4,4,4,4,1,
25,0,0,4,4,4,4,4,4,4,4,1,
26,1,1,1,1,1,1,1,1,1,1,2,
27,1,1,1,1,1,1,1,1,1,1,2,
28,1,1,1,2,2,2,2,2,2,2,2,
29,1,1,1,1,1,1,1,1,1,1,2,
30,2,2,2,2,2,2,2,2,2,2,1,
31,2,2,2,2,2,2,2,5,5,11,1,
32,2,2,2,2,2,2,2,2,10,11,1,
33,2,2,2,2,2,2,2,2,2,2,1,
34,2,2,2,2,2,2,2,2,2,2,1,
35,2,3,4,5,5,5,5,5,5,5,1,
36,1,1,1,1,1,1,7,7,7,7,2,
37,1,1,1,1,1,1,1,1,1,1,2,
38,1,1,1,1,1,1,1,1,1,1,2,
39,1,1,1,1,1,1,1,1,1,1,2,
40,1,1,1,4,6,6,6,9,9,9,2,
41,1,0,4,4,6,6,6,9,9,9,2,
42,1,1,1,1,1,1,1,1,1,1,2,
43,1,1,1,1,1,1,1,1,1,1,2,
44,1,1,1,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,7,8,8,10,10,2,
48,1,1,1,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,1,1,1,2,
50,1,1,1,1,1,1,1,1,1,1,2,
51,1,1,1,1,1,1,1,1,1,1,2,
52,1,1,1,1,1,1,1,1,1,1,2,
53,1,1,1,1,1,1,1,1,1,1,2,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.11035202869312288,0.17266636667467156,0.16337119788221782,0.14836533957369735,0.15621130316703585,0.1436490015878106,0.15279642460473636,0.14737651132103496,0.1493683154796989,0.14865640031960087,0.1988272453693236,
NMI,0.42798629317400416,0.63207893904879209,0.65809055952916895,0.53487304496733157,0.58538044832787617,0.54505040165322594,0.53003340942356614,0.5649224969368758,0.56798104386399995,0.58443788288814125,1.0,
Silhoutte,0.09320103,0.18319212,0.19678603,0.18416432,0.20148383,0.20608208,0.23550996,0.2312387,0.23326775,0.26610536,0.17343577,
