,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,
0,0,3,1,1,1,7,8,8,8,8,8,8,3,
1,2,2,2,5,6,6,6,6,6,6,6,6,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,
3,2,2,2,2,2,2,2,2,2,2,2,2,1,
4,0,3,1,1,6,7,8,8,8,8,8,8,3,
5,0,0,4,5,6,6,6,6,6,6,6,6,0,
6,1,1,4,5,6,6,6,6,6,6,6,6,0,
7,0,0,4,3,3,7,7,7,10,10,10,10,2,
8,0,3,3,3,3,6,7,7,10,10,10,10,2,
9,2,2,2,2,2,2,2,2,2,2,2,2,1,
10,2,2,2,2,2,2,2,2,2,2,2,2,1,
11,0,0,4,0,0,6,7,9,9,7,7,13,0,
12,0,1,4,5,6,6,6,6,6,6,6,6,0,
13,0,0,0,0,0,0,0,0,9,7,7,12,1,
14,1,1,1,1,1,1,1,1,1,1,1,1,0,
15,1,1,1,1,1,1,1,1,1,1,1,1,0,
16,2,0,4,5,5,5,5,5,5,5,5,5,2,
17,1,1,1,1,1,1,1,1,1,1,1,1,0,
18,1,1,1,1,1,1,1,1,1,1,1,1,0,
19,1,1,0,0,1,7,8,8,7,9,9,9,0,
20,1,1,1,1,1,1,1,1,1,1,1,1,0,
21,1,1,1,1,1,1,1,1,1,1,1,1,0,
22,1,1,1,1,1,1,1,1,1,1,1,1,0,
23,2,2,2,2,2,2,2,2,2,2,2,2,1,
24,0,0,0,0,0,0,0,0,0,0,9,12,3,
25,0,0,0,5,0,7,7,7,7,11,11,11,2,
26,1,1,1,1,1,1,1,1,1,1,1,1,0,
27,0,0,0,0,0,7,8,9,7,9,9,9,0,
28,1,3,4,4,4,4,4,4,4,4,12,3,2,
29,1,3,3,4,3,3,3,3,3,3,12,3,2,
30,2,2,2,2,2,2,2,2,2,2,2,2,1,
31,2,2,2,2,2,2,2,2,2,2,2,2,1,
32,2,2,2,2,2,2,2,2,2,2,2,2,1,
33,2,2,2,2,2,2,2,2,2,2,2,2,1,
34,0,0,0,0,0,0,0,0,0,0,12,12,1,
35,0,1,1,1,6,7,8,8,8,8,8,8,3,
36,1,3,3,3,3,3,3,3,10,10,10,10,2,
37,0,3,3,3,3,3,3,9,3,3,3,7,2,
38,1,3,3,5,3,3,0,3,0,9,12,3,2,
39,2,3,4,5,5,5,5,5,5,5,5,5,2,
40,1,1,4,4,4,4,4,4,4,4,4,4,2,
41,0,0,0,4,4,4,4,4,4,4,4,4,2,
42,1,1,4,4,4,4,4,4,4,4,4,4,2,
43,1,1,4,4,4,4,4,4,4,4,4,4,2,
44,1,3,3,3,3,3,3,3,3,3,12,3,2,
45,2,3,4,5,5,5,5,5,5,5,5,5,2,
46,2,3,4,5,5,5,5,5,5,5,5,5,2,
47,1,3,3,3,3,3,3,9,3,3,3,7,2,
48,1,3,3,3,3,3,3,3,3,3,12,3,2,
49,1,3,3,3,3,3,3,3,3,3,3,7,2,
50,2,0,4,5,6,7,7,7,6,11,11,11,2,
51,1,3,3,5,3,7,7,7,9,11,11,11,2,
52,0,0,3,3,3,0,7,9,9,7,7,13,0,
53,1,3,3,3,3,3,3,3,3,3,12,3,2,
54,99,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.13142688105519845,0.21013322901228176,0.2050389607881763,0.2195906281389981,0.21893560353680142,0.2230547643446095,0.22965368693530475,0.21395371282136372,0.2207915719436222,0.22855075306295408,0.22382607424425408,0.22164245967292173,0.2739395176811575,
NMI,0.33003193678265014,0.50178058899273859,0.5213863890512962,0.52114970500020463,0.52817156652197572,0.56355223588511116,0.60368709499561157,0.63671971060604782,0.5798721499765559,0.64388193891461176,0.62646687524941402,0.66903092021182642,1.0,
Silhoutte,-0.01441648,0.06863338,0.09014784,0.11819625,0.15297258,0.1815857,0.21604591,0.21564256,0.26308838,0.29079744,0.2969482,0.32424642,0.10018046,
