,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,2,5,5,5,5,5,5,5,5,2,0
1,0,0,0,0,0,7,7,7,7,7,7,0,1
2,2,2,4,4,6,4,8,8,8,8,8,1,2
3,2,3,3,3,3,3,3,3,3,3,3,0,3
4,0,0,2,5,5,5,5,5,5,5,5,2,0
5,2,2,2,5,5,5,2,2,8,8,11,1,4
6,0,0,0,0,0,7,7,7,7,7,7,0,1
7,2,2,2,5,6,7,7,7,7,7,7,1,4
8,0,0,0,4,6,6,6,6,6,6,6,3,5
9,0,0,4,4,4,4,8,8,8,8,8,1,2
10,2,2,2,5,5,2,2,2,8,8,8,1,4
11,2,2,2,4,4,4,4,2,4,11,11,1,4
12,2,2,2,2,2,2,2,2,10,10,2,1,4
13,2,2,0,0,0,0,0,0,8,8,8,1,6
14,2,2,4,2,2,4,8,8,2,2,12,1,7
15,2,2,4,2,2,2,2,2,2,2,2,1,7
16,2,2,2,2,2,2,2,2,2,11,11,1,4
17,2,2,4,2,2,2,2,2,2,2,2,1,7
18,2,2,4,2,2,2,2,2,2,2,2,1,7
19,1,1,0,2,2,2,2,9,10,10,10,1,7
20,2,2,4,2,2,2,2,2,2,2,2,1,7
21,2,2,2,2,2,2,2,2,7,7,7,1,4
22,1,1,1,1,1,1,1,1,1,1,1,4,8
23,2,2,4,5,5,4,8,8,8,8,8,1,2
24,1,1,1,1,1,1,1,1,1,1,1,4,8
25,0,0,4,0,0,0,0,0,0,9,12,1,7
26,1,1,1,1,1,1,1,1,1,1,1,4,8
27,0,0,0,2,2,2,8,9,10,10,10,1,7
28,2,2,2,4,5,2,2,2,4,11,11,1,4
29,1,1,1,1,4,4,4,4,4,1,1,4,8
30,0,3,3,3,3,3,3,3,3,3,3,0,3
31,0,3,3,3,3,3,3,3,3,3,3,0,3
32,0,3,3,3,3,3,3,3,3,3,3,0,3
33,0,3,3,3,3,3,3,3,3,3,3,0,3
34,2,2,4,0,4,4,4,4,4,4,4,4,6
35,0,0,2,5,5,5,5,5,5,5,5,2,0
36,0,0,4,4,6,6,6,6,6,6,6,3,5
37,0,0,0,0,0,0,0,0,0,0,9,3,6
38,0,0,0,0,0,0,0,0,0,4,4,4,6
39,0,0,4,4,4,4,4,4,4,4,4,4,6
40,1,1,4,4,4,4,4,4,4,9,9,4,6
41,2,2,0,0,4,4,4,9,9,9,9,4,6
42,0,0,0,0,4,4,4,9,9,9,9,4,6
43,1,1,1,1,1,1,1,1,1,1,1,4,8
44,1,1,4,4,4,4,4,4,4,11,11,4,6
45,1,1,1,1,1,1,1,1,1,1,1,4,8
46,1,1,1,4,6,6,6,6,6,6,6,3,5
47,0,0,4,4,6,6,6,6,6,11,11,3,6
48,1,1,1,1,1,1,1,1,1,1,1,4,5
49,1,3,3,3,3,3,3,3,3,3,3,0,3
50,1,1,1,1,1,1,1,1,1,1,1,4,8
51,1,1,1,1,1,1,1,4,4,1,1,4,8
52,1,1,1,1,1,1,1,1,1,1,1,4,8
53,1,1,1,1,4,4,4,4,4,1,1,4,8
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.12653819196171548,0.14728474364532365,0.1487943266354421,0.16887384919095114,0.16905368059115158,0.16622593435226243,0.17410516494901251,0.1655436965798589,0.15875251645069013,0.15988931098634,0.15627576434175885,0.21065438709096806,0.17500798965935885
NMI,0.36679571430398827,0.5194051482577543,0.47519658115087759,0.55664943075856077,0.60923913473318736,0.6564546328886377,0.71762519400201275,0.70243339471009847,0.66720728618582748,0.67071756945061134,0.66471712835245456,1.0,0.70989941961013636
