,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,3,3,3,3,3,0,0
1,0,3,3,3,3,3,3,0,0
2,0,3,3,3,3,3,3,0,0
3,1,2,4,5,5,5,5,1,1
4,1,3,3,3,3,3,3,0,0
5,1,1,1,1,1,1,1,1,1
6,1,3,3,3,3,7,3,1,2
7,1,1,1,1,1,1,1,1,1
8,1,1,2,2,6,6,6,4,3
9,1,1,1,1,1,5,5,1,1
10,1,1,1,1,1,5,5,1,1
11,0,0,0,0,0,0,0,4,2
12,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,4
14,1,1,1,1,1,1,1,1,4
15,1,1,1,1,1,1,1,1,4
16,2,1,2,1,1,7,7,1,2
17,1,1,1,1,1,1,1,1,4
18,1,1,1,1,1,1,1,1,4
19,1,1,1,1,1,1,1,1,4
20,1,1,1,1,1,1,1,1,4
21,1,1,1,1,1,1,1,1,4
22,1,1,1,1,1,1,1,1,4
23,0,0,0,5,5,5,5,1,2
24,2,2,2,5,5,5,8,4,3
25,99,99,99,99,99,99,99,99,99
26,1,1,1,1,1,7,8,1,4
27,1,1,1,1,1,1,1,1,4
28,1,2,1,4,4,4,4,4,1
29,2,2,2,2,2,2,2,4,5
30,2,2,4,4,4,4,4,4,6
31,2,2,4,4,4,4,4,4,6
32,2,2,4,4,4,4,4,4,6
33,2,2,4,4,4,4,4,4,6
34,2,0,2,2,2,2,2,4,3
35,1,3,3,3,3,3,3,0,1
36,2,0,2,2,6,6,6,4,3
37,99,99,99,99,99,99,99,99,99
38,0,3,3,5,5,7,7,1,2
39,1,0,0,0,0,0,0,4,2
40,2,2,2,2,2,2,2,4,3
41,2,3,2,2,2,2,2,4,3
42,99,99,99,99,99,99,99,99,99
43,2,2,2,5,2,2,8,4,3
44,2,2,2,2,2,2,2,4,3
45,99,99,99,99,99,99,99,99,99
46,2,2,2,2,2,2,1,4,5
47,99,99,99,99,99,99,99,99,99
48,2,2,2,2,6,6,6,4,3
49,2,2,2,2,2,2,4,4,3
50,2,2,2,2,2,2,2,4,5
51,2,2,2,5,2,2,2,4,3
52,1,1,1,1,1,1,1,1,1
53,2,2,2,2,2,2,2,4,5
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.11085143358067404,0.11955460222184647,0.12787373722242706,0.12993950865673703,0.12366454777838899,0.11513523547263574,0.10948972591080124,0.14366079612998647,0.09328484362465941
NMI,0.44533306186265759,0.54377452143878369,0.5352793657874888,0.65989921445537647,0.66898122306224195,0.67020556671761744,0.57016989452236977,1.0,0.5635568985124394
