,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,0,0,0,0,6,6,6,6,2,0
1,1,3,4,4,4,4,6,9,2,0
2,0,0,4,4,4,4,4,4,2,1
3,1,1,1,1,1,1,1,1,1,2
4,0,2,3,3,6,6,6,6,2,0
5,1,1,1,1,6,6,6,9,1,0
6,1,1,1,1,1,1,1,1,1,0
7,1,1,1,1,1,1,1,1,1,2
8,0,3,4,4,4,7,7,7,3,3
9,1,2,4,4,4,4,4,4,2,0
10,1,1,1,1,1,1,1,1,1,2
11,1,1,1,1,1,1,1,1,1,2
12,1,1,1,1,1,1,1,1,1,2
13,1,1,1,1,1,1,1,1,1,2
14,1,3,3,3,3,3,3,3,0,4
15,1,3,3,3,3,3,3,3,0,4
16,1,3,3,3,3,3,3,3,0,5
17,1,3,3,3,3,3,3,3,0,4
18,1,3,3,3,3,3,3,3,0,4
19,1,3,3,3,3,3,3,3,0,5
20,1,3,3,3,3,3,3,3,0,6
21,1,1,3,3,3,3,6,9,1,0
22,1,3,3,3,3,3,3,3,0,4
23,1,1,1,1,1,1,1,1,1,2
24,1,1,1,1,1,1,1,1,1,2
25,2,3,3,3,5,3,3,3,0,6
26,2,3,3,3,3,3,3,3,0,6
27,1,1,1,1,1,1,1,1,1,2
28,1,1,1,1,1,1,1,1,1,2
29,2,2,2,2,2,2,2,2,3,6
30,0,3,4,4,4,4,4,4,2,1
31,0,0,4,4,4,4,4,4,2,1
32,0,0,4,5,5,5,5,5,2,1
33,2,2,2,2,2,2,2,2,3,6
34,1,1,4,4,4,4,4,4,3,1
35,1,3,3,3,6,6,8,8,2,5
36,0,3,4,4,4,7,7,7,3,3
37,2,2,2,2,2,2,2,2,3,7
38,2,2,2,2,2,2,2,2,3,7
39,2,2,2,2,2,2,2,2,3,7
40,2,2,2,5,5,5,5,5,3,8
41,2,2,2,5,5,5,5,5,3,8
42,2,2,2,5,5,5,5,5,3,8
43,2,3,2,5,5,5,5,5,3,6
44,2,2,2,2,2,2,2,2,3,7
45,2,2,2,2,2,2,2,2,3,7
46,1,1,1,1,1,1,1,1,1,2
47,1,0,0,1,1,1,1,1,3,3
48,2,2,2,2,2,2,2,2,3,7
49,2,2,2,2,2,2,2,2,3,6
50,1,1,1,1,1,1,1,1,1,2
51,2,2,4,5,5,7,7,7,3,6
52,1,1,1,1,1,1,1,1,1,5
53,2,2,0,0,6,0,8,8,3,3
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.11254376565321882,0.09318084650456053,0.12059590574481235,0.11040911550695949,0.11255287976725609,0.11412403880298742,0.11348222942545462,0.11166088989374173,0.1405453818372379,0.08750338705418755
NMI,0.47951510624918092,0.63353781390709341,0.7117484802304086,0.62582013991831309,0.60458303816216707,0.67663964812990529,0.68166036392178964,0.68739277101779728,1.0,0.61177995155806286
