,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,1,1,2,6,5,8,8,8
1,1,1,4,5,5,6,5,5,6
2,2,2,2,2,6,7,8,8,8
3,1,2,4,4,4,7,4,2,2
4,0,1,3,2,6,6,8,8,8
5,0,2,2,2,6,0,7,7,7
6,0,1,4,5,5,6,5,5,6
7,0,0,0,5,5,6,5,5,5
8,0,0,0,5,5,5,7,9,5
9,0,0,4,4,4,4,4,9,9
10,2,2,2,5,5,6,5,5,6
11,0,2,2,2,2,5,7,7,7
12,2,1,1,5,5,6,5,5,6
13,0,0,4,4,4,4,4,9,9
14,2,3,3,3,3,3,3,3,3
15,2,3,3,3,3,3,3,3,3
16,2,2,3,3,6,3,7,7,7
17,2,3,3,3,3,3,3,3,3
18,2,3,3,3,3,3,3,3,3
19,2,3,3,3,3,3,3,3,3
20,2,3,3,3,3,3,3,3,3
21,2,2,2,5,5,6,5,5,6
22,2,3,3,3,3,3,3,3,3
23,0,0,4,4,4,4,4,4,4
24,1,1,4,4,4,4,4,4,4
25,1,1,1,1,1,7,2,2,2
26,0,0,4,4,4,4,4,9,9
27,1,1,1,1,1,1,1,1,1
28,1,2,2,1,6,7,2,2,2
29,1,1,1,1,1,1,1,1,1
30,1,2,2,2,6,7,2,2,2
31,1,2,2,2,6,7,2,2,2
32,2,2,2,2,6,7,2,2,2
33,1,2,2,2,6,7,2,2,2
34,1,1,4,4,4,4,4,4,4
35,0,3,3,2,6,5,8,8,8
36,1,1,1,1,1,5,1,1,5
37,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,2,1,2
39,1,1,1,1,1,1,1,1,1
40,2,2,2,5,2,2,6,6,10
41,2,2,2,5,2,2,6,6,10
42,2,2,2,5,2,2,6,6,10
43,2,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1
47,1,0,1,1,1,1,4,1,10
48,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1
51,2,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,7,7
53,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
