,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,3,4,4,3,3,3,3,3,3,3,2,0
1,0,0,0,5,4,4,4,6,6,6,6,2,1
2,2,3,2,2,2,2,2,2,2,2,2,1,2
3,2,2,2,2,2,2,2,2,2,2,2,1,1
4,0,3,4,4,3,3,3,3,3,3,3,2,0
5,2,3,4,4,4,4,4,9,9,9,9,2,1
6,1,3,4,4,4,4,4,6,6,6,6,2,1
7,2,3,4,4,4,4,4,6,6,6,6,2,1
8,2,2,2,5,5,7,7,7,10,10,10,3,3
9,2,2,2,2,2,7,7,7,7,7,7,1,1
10,2,2,4,4,4,4,4,9,9,9,9,2,1
11,2,3,4,4,4,4,4,9,9,9,9,2,1
12,2,3,4,4,4,4,4,6,6,6,6,2,1
13,0,2,1,3,4,7,7,7,7,11,7,1,1
14,1,1,1,1,1,1,1,1,1,1,1,0,4
15,1,1,1,1,1,1,1,1,1,1,1,0,4
16,1,1,1,1,1,1,1,1,1,1,1,0,4
17,1,1,1,1,1,1,1,1,1,1,1,0,4
18,1,1,1,1,1,1,1,1,1,1,1,0,4
19,1,1,1,1,1,1,1,1,1,1,1,0,4
20,1,1,1,1,1,1,1,1,1,1,1,0,4
21,1,1,1,1,1,1,1,1,1,1,1,0,4
22,1,1,1,1,1,1,1,1,1,1,1,0,4
23,2,2,3,3,6,7,7,7,7,7,7,1,1
24,0,0,4,4,4,0,0,9,9,9,11,2,1
25,1,1,1,1,1,1,1,1,1,1,1,0,4
26,0,3,3,5,6,7,8,8,8,8,8,3,5
27,2,2,3,3,6,6,6,9,4,9,12,1,1
28,2,2,3,3,6,6,6,4,4,4,4,1,6
29,1,3,3,3,6,6,6,4,4,4,4,3,6
30,2,2,2,2,2,2,2,2,2,2,2,1,2
31,2,2,2,2,2,2,2,2,2,2,2,1,2
32,2,2,2,2,2,2,2,2,2,2,2,1,2
33,2,2,2,2,2,2,2,2,2,2,2,1,2
34,1,3,3,3,6,6,6,4,4,4,4,3,3
35,0,3,4,4,3,3,3,3,3,3,3,2,0
36,2,0,2,5,5,7,7,7,10,10,10,3,3
37,2,0,4,5,0,7,7,7,8,8,12,3,3
38,1,3,3,3,6,6,6,4,4,4,4,3,3
39,2,3,0,5,0,7,7,7,10,11,7,3,3
40,2,3,4,4,5,5,5,5,5,5,5,3,5
41,0,0,0,5,5,5,5,5,5,5,5,3,5
42,0,0,4,5,5,5,5,5,5,5,5,3,5
43,2,3,3,5,5,5,8,8,8,8,8,3,5
44,1,3,3,3,6,6,6,4,4,4,4,3,3
45,2,3,3,5,2,0,7,7,10,10,10,3,3
46,2,3,3,3,6,6,6,6,4,4,4,3,3
47,2,3,0,5,5,7,7,7,10,10,10,3,3
48,0,1,1,1,6,6,3,3,3,11,11,3,3
49,1,3,3,3,6,6,6,4,4,4,4,3,3
50,1,3,3,3,6,6,6,4,4,4,4,3,6
51,1,3,3,3,6,6,8,8,8,8,8,3,5
52,0,0,4,4,3,3,8,9,9,9,9,2,1
53,2,3,3,5,6,7,7,7,7,7,7,3,3
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.08716861283743824,0.14386946140052367,0.17201192073067476,0.18569366435421242,0.19148392993265084,0.18282243973117612,0.18385110426915835,0.17466517875619897,0.1772695304130232,0.16898678393229177,0.16792859803621712,0.25025746268510957,0.20251440453079253
NMI,0.31944520139584515,0.54131853085390924,0.5648165066187576,0.69002336512911344,0.69737510030221983,0.6799318899471356,0.63560709968799645,0.61487934093130825,0.67562207699377264,0.66143036867360683,0.65702434707074808,1.0,0.7323672718323273
