,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,
0,2,2,2,5,0,
1,2,2,4,4,0,
2,1,1,1,1,0,
3,2,3,3,3,2,
4,1,1,1,1,0,
5,1,1,1,1,0,
6,1,1,1,1,0,
7,1,1,1,1,0,
8,1,1,1,1,0,
9,1,1,1,1,0,
10,1,1,1,1,0,
11,1,1,1,1,0,
12,1,1,1,1,0,
13,1,1,1,1,0,
14,1,1,1,1,0,
15,1,1,1,1,0,
16,1,1,1,1,0,
17,1,1,1,1,0,
18,1,1,1,1,0,
19,1,1,1,1,0,
20,1,1,1,1,0,
21,1,1,1,1,0,
22,1,1,1,1,0,
23,1,1,1,1,0,
24,2,3,3,3,2,
25,2,3,3,3,2,
26,0,0,4,4,0,
27,2,2,2,2,1,
28,2,2,2,2,1,
29,2,2,2,2,1,
30,1,3,3,3,2,
31,2,2,2,2,1,
32,2,2,2,2,1,
33,2,2,2,2,1,
34,2,2,2,2,1,
35,2,2,4,4,2,
36,2,2,2,2,1,
37,1,3,3,3,2,
38,2,2,2,2,1,
39,2,2,2,2,1,
40,2,2,2,5,1,
41,2,2,2,2,1,
42,2,2,2,2,1,
43,1,1,4,5,2,
44,2,2,2,2,1,
45,2,2,2,2,1,
46,1,3,3,3,1,
47,2,2,2,2,1,
48,2,2,2,2,1,
49,1,3,3,3,2,
50,0,0,4,4,2,
51,1,3,3,3,2,
52,1,1,1,1,0,
53,1,1,4,5,2,
54,99,99,99,99,99,
55,99,99,99,99,99,
Modularity,0.1822016724175787,0.251598951450316,0.2721216913113311,0.2694375435345555,0.29026849618858686,
NMI,0.3843865051235752,0.59305777011408667,0.73931998028050705,0.71393493341895997,1.0,
Silhoutte,0.23688114,0.39069164,0.46696691,0.46048779,0.4458237,
