,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,0,3,3,3,6,6,6,6,6,6,3,
1,0,3,4,4,6,6,6,6,6,6,3,
2,2,3,2,2,2,2,2,2,2,2,0,
3,2,2,2,2,2,2,2,2,2,2,0,
4,0,3,4,4,6,6,6,6,6,6,3,
5,0,0,0,0,0,4,4,9,9,9,0,
6,0,3,4,4,6,6,6,6,6,6,3,
7,0,0,4,4,6,6,8,8,8,8,5,
8,0,0,4,4,6,6,8,8,8,8,5,
9,2,2,2,2,2,2,2,7,2,7,0,
10,2,2,2,2,2,2,2,2,2,2,0,
11,0,0,1,4,3,4,4,3,4,4,3,
12,2,2,2,4,4,4,4,9,9,9,0,
13,2,2,2,2,2,2,2,2,2,2,0,
14,1,3,3,3,3,3,3,3,3,3,1,
15,2,3,3,3,3,3,3,3,3,3,1,
16,2,3,3,3,4,4,4,4,10,10,1,
17,2,3,3,3,3,3,3,3,3,3,1,
18,2,3,3,3,3,3,3,3,3,3,1,
19,0,3,3,3,3,3,3,3,3,11,1,
20,2,3,3,3,3,3,3,3,3,3,1,
21,1,3,3,3,3,4,4,9,9,9,1,
22,99,99,99,99,99,99,99,99,99,99,99,
23,2,2,2,2,4,7,7,7,7,7,0,
24,0,3,2,4,4,7,7,7,7,7,0,
25,0,3,3,3,4,7,7,7,1,1,0,
26,2,3,3,3,3,3,3,3,3,3,1,
27,1,1,1,1,1,1,1,1,1,1,4,
28,1,1,1,1,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,1,1,1,1,4,
30,2,2,2,2,2,2,2,2,2,2,0,
31,2,2,2,2,2,2,2,2,2,2,0,
32,2,2,2,2,2,2,2,2,2,2,0,
33,1,1,1,1,1,1,1,1,1,1,4,
34,1,1,1,1,1,1,1,1,1,1,4,
35,0,3,4,4,6,6,6,6,6,6,3,
36,1,1,4,4,5,5,8,8,8,8,4,
37,0,2,2,5,5,5,5,5,5,5,4,
38,1,1,1,1,1,1,1,1,1,1,4,
39,1,1,1,1,1,1,1,1,10,10,4,
40,1,1,1,1,1,1,1,1,1,1,4,
41,1,1,1,1,1,1,1,1,1,1,4,
42,1,1,1,1,1,1,1,1,1,1,4,
43,1,1,1,1,1,1,1,1,1,1,4,
44,1,1,1,5,5,5,5,5,5,5,4,
45,1,1,1,1,1,1,1,1,1,1,4,
46,1,1,4,4,4,4,4,4,10,10,4,
47,0,2,4,5,5,5,5,5,5,5,4,
48,1,1,1,1,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,1,1,1,1,4,
50,1,1,1,1,1,1,1,1,1,1,4,
51,1,1,3,3,1,7,7,1,1,1,4,
52,0,0,0,0,0,0,3,4,4,4,3,
53,1,1,1,1,1,1,1,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.16243014182688173,0.2078679348276059,0.18540849933942738,0.18995106101046838,0.2004882489184749,0.1991012917140667,0.20335160450152634,0.19446312118010256,0.20004781652518674,0.1904898470036067,0.2374199341465512,
NMI,0.55226449410055067,0.65822791331123087,0.60600247494401738,0.61128256732092756,0.72038180187888257,0.69351395562051188,0.67988374189940981,0.72570554713008972,0.72299731017734903,0.7100472377117556,1.0,
Silhoutte,0.10429992,0.14392492,0.13417087,0.15409777,0.20019775,0.21245183,0.2523372,0.25886144,0.29334843,0.29767663,0.2224479,
