,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,2,2,5,6,6,6,6,6,6
1,0,0,0,0,0,7,8,8,7,7
2,2,3,3,3,6,6,6,6,6,6
3,0,3,3,3,3,3,3,3,3,3
4,2,2,2,5,6,6,6,6,6,6
5,0,0,4,4,4,4,4,4,4,4
6,0,0,0,0,0,7,8,8,7,7
7,0,0,4,4,4,4,7,9,9,11
8,0,3,4,4,4,4,7,9,9,11
9,0,3,3,3,3,3,3,3,3,3
10,0,0,4,4,4,3,4,4,4,4
11,1,1,4,4,4,4,4,4,4,4
12,0,0,4,4,4,4,4,4,4,4
13,1,1,3,3,3,3,3,3,3,3
14,2,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2
19,0,0,0,0,0,0,0,3,9,9
20,2,2,2,2,2,2,2,2,2,2
21,2,2,2,4,2,2,2,2,2,2
22,99,99,99,99,99,99,99,99,99,99
23,1,3,3,3,3,3,3,3,3,3
24,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1
26,2,2,2,2,2,2,2,2,2,2
27,2,2,2,2,2,2,2,3,3,9
28,1,1,1,1,5,5,5,5,5,5
29,1,1,1,1,5,5,5,5,5,5
30,1,3,3,3,3,5,3,5,10,10
31,0,0,0,0,0,0,0,0,3,0
32,0,3,3,3,3,7,3,7,10,10
33,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,10,10
35,2,2,2,2,6,6,6,6,6,6
36,0,3,4,4,4,4,7,9,9,11
37,0,0,0,3,4,0,8,7,8,8
38,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1
40,1,1,1,5,5,5,5,5,5,5
41,1,1,1,1,1,1,1,1,1,1
42,99,99,99,99,99,99,99,99,99,99
43,1,1,1,5,5,5,5,5,5,5
44,99,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99,99
46,1,1,1,1,1,1,1,1,1,1
47,0,0,0,0,0,0,8,7,8,8
48,1,1,1,1,1,1,1,1,1,1
49,1,1,1,5,5,5,5,5,5,5
50,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1
54,1,3,3,5,5,5,5,5,5,5
55,99,99,99,99,99,99,99,99,99,99
