,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0,0,0,0,7,8,6,6,8,1,1
2,2,2,2,5,5,5,5,5,5,5,1,2
3,2,2,2,2,2,2,2,2,8,2,1,2
4,1,1,1,1,0,0,0,8,10,10,0,3
5,1,1,1,1,1,1,1,1,1,1,0,3
6,0,0,0,2,2,7,8,2,8,8,1,1
7,0,3,4,4,4,4,4,3,3,4,3,4
8,2,2,2,2,2,2,2,2,8,11,1,4
9,1,1,1,1,1,1,1,1,1,1,0,0
10,2,2,2,2,2,2,8,8,2,2,1,3
11,1,1,1,1,1,1,1,1,1,1,0,0
12,2,2,2,2,3,2,2,8,2,2,1,3
13,1,1,1,1,1,1,1,1,1,1,0,0
14,0,0,3,3,6,6,6,9,9,9,2,5
15,0,2,3,5,6,6,6,6,6,6,2,5
16,0,0,4,4,4,7,7,7,7,7,3,6
17,0,1,3,3,6,6,6,9,9,9,2,5
18,1,1,1,1,1,7,1,1,1,1,0,6
19,1,2,2,2,2,2,2,2,8,11,1,2
20,2,3,3,5,5,5,5,5,5,5,1,7
21,1,1,1,1,1,1,1,1,1,1,0,0
22,2,2,0,5,5,5,5,5,5,5,1,7
23,0,3,4,4,4,4,4,3,3,4,3,4
24,0,3,4,4,4,4,4,3,3,4,3,4
25,2,2,2,2,2,2,2,8,2,2,1,2
26,0,2,3,5,6,6,6,6,6,6,2,5
27,2,2,2,2,2,2,2,2,8,11,1,2
28,2,2,2,2,2,2,2,8,2,2,1,2
29,0,3,3,3,3,3,3,2,8,11,3,2
30,2,2,2,2,2,2,2,8,2,2,1,2
31,2,3,4,5,5,5,5,5,5,5,1,7
32,2,2,2,5,5,5,5,5,5,5,1,7
33,0,3,4,2,4,4,4,3,3,4,3,4
34,2,3,3,3,3,3,3,4,4,3,3,1
35,1,1,1,1,1,1,1,1,1,1,0,0
36,1,1,1,1,1,1,1,1,1,1,0,0
37,1,1,1,1,1,1,1,1,10,10,0,1
38,0,0,0,0,0,0,7,7,10,10,3,1
39,2,3,4,4,4,7,7,7,7,7,3,6
40,2,3,3,3,3,3,3,4,4,3,3,8
41,0,0,0,0,0,0,0,0,0,11,3,1
42,2,3,3,3,3,3,3,4,4,3,3,8
43,0,0,3,3,3,3,8,8,9,3,3,8
44,2,3,3,3,3,3,3,4,4,3,3,8
45,0,0,2,5,6,6,6,6,6,6,2,5
46,2,0,4,4,6,6,6,9,3,9,3,4
47,0,0,3,3,3,3,3,9,10,11,3,1
48,0,3,0,0,0,4,4,3,10,10,3,1
49,0,3,4,4,4,4,4,3,3,4,3,4
50,2,3,3,3,3,4,4,4,4,4,3,4
51,0,0,0,0,0,0,0,9,9,9,2,1
52,1,1,1,1,1,1,1,1,1,1,0,0
53,0,3,4,4,4,4,4,3,3,4,3,4
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.14626854635645897,0.16478696818785463,0.1790772158093349,0.20188848301222848,0.19644123527633867,0.19322788663741758,0.1913313211526261,0.1764082244888041,0.17469633897176615,0.1769564307327182,0.2349027911431512,0.16888847171009339
NMI,0.55597119900331493,0.61179595265210573,0.58708797550551894,0.63754671423845488,0.67073410584946891,0.66327275506658034,0.69454042895451784,0.62089749653655324,0.64307792344449988,0.65618028155024066,1.0,0.54914954339607336
