,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,1,3,3,3,3,3,3,0,0
1,1,3,3,3,3,3,3,0,0
2,1,3,3,3,3,3,3,0,0
3,2,1,4,5,5,5,5,2,1
4,2,3,3,3,3,3,3,0,2
5,2,2,2,5,5,5,5,2,1
6,1,1,4,5,5,5,5,0,1
7,2,2,4,5,5,5,5,2,1
8,2,2,2,2,2,2,2,2,3
9,1,3,3,3,3,3,3,0,0
10,1,3,1,1,1,1,1,1,3
11,2,2,2,2,2,2,2,2,3
12,2,2,2,5,5,5,2,2,1
13,2,1,4,5,5,5,5,2,1
14,2,1,1,1,1,7,7,2,4
15,2,2,2,2,2,2,2,2,5
16,2,2,2,2,2,2,2,2,5
17,2,2,2,2,2,2,2,2,5
18,2,2,2,2,2,2,2,2,5
19,2,2,2,2,2,2,2,2,5
20,2,2,2,2,2,2,2,2,5
21,1,3,3,3,3,3,3,0,0
22,2,2,2,2,2,2,2,2,5
23,2,3,4,5,5,5,5,2,1
24,1,1,1,1,6,6,6,1,6
25,0,0,0,0,0,7,7,2,4
26,2,2,2,5,6,7,2,2,1
27,1,1,1,1,1,1,1,1,7
28,1,1,4,4,4,4,4,1,8
29,1,1,1,1,1,1,1,1,7
30,2,1,4,4,4,4,4,1,8
31,1,1,4,4,4,4,4,1,8
32,0,3,4,4,4,4,4,0,8
33,2,1,4,4,4,4,4,1,8
34,1,1,1,1,1,1,1,1,7
35,1,1,1,1,1,1,1,1,7
36,1,3,3,3,3,3,3,0,0
37,1,3,3,3,3,3,3,0,0
38,1,1,1,1,1,1,1,1,7
39,2,2,2,2,2,2,2,2,3
40,1,1,1,5,6,6,6,1,6
41,0,0,0,4,6,6,6,1,6
42,1,1,1,1,6,6,8,1,6
43,2,2,2,5,5,6,6,1,6
44,1,1,1,1,1,1,1,1,7
45,2,2,2,0,5,5,8,1,6
46,1,1,1,1,1,1,1,1,7
47,1,1,1,1,1,1,1,1,7
48,1,1,1,1,1,1,1,1,7
49,1,1,1,1,1,1,1,1,7
50,1,1,1,1,1,1,1,1,7
51,1,3,1,5,1,1,1,1,6
52,1,3,3,3,3,3,3,0,2
53,1,1,1,1,1,1,1,1,6
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.10842060296590228,0.17486093732932229,0.19400666652814974,0.19210691964401733,0.18746315529050475,0.20035035660351713,0.2051992591056102,0.2566340266605598,0.17354241278051813
NMI,0.41527603685362452,0.45681827918858769,0.52571045536268091,0.55353212991578782,0.54800900239404771,0.64364142946824177,0.67875697942097357,1.0,0.61444410107948677
