,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,4,4,0
1,0,0,0,4,0,0,8,8,8,8,8,2,1
2,1,1,1,5,5,7,5,5,5,5,5,0,2
3,1,3,3,3,3,3,3,3,3,3,3,1,3
4,0,0,4,4,4,4,4,4,4,4,4,4,0
5,1,1,4,1,4,4,4,4,4,4,4,4,4
6,0,0,0,4,0,0,8,8,8,8,8,2,1
7,1,1,4,1,6,7,8,8,8,8,8,2,4
8,0,0,0,5,6,6,6,6,6,6,6,2,5
9,0,0,1,5,5,7,5,5,5,5,5,0,2
10,1,1,4,1,1,1,1,1,1,1,1,0,4
11,1,1,4,1,1,1,1,1,1,1,9,4,4
12,1,1,4,1,1,1,1,1,1,1,1,0,4
13,1,3,3,0,0,0,0,3,1,1,0,1,1
14,1,1,1,5,1,1,1,1,1,11,11,0,2
15,1,1,1,1,1,1,1,1,1,1,1,0,2
16,1,1,4,1,1,1,1,1,1,1,1,0,4
17,1,1,1,4,1,1,1,1,10,10,10,0,2
18,1,1,1,1,1,1,1,1,1,1,1,0,2
19,2,2,1,4,4,7,5,7,10,10,10,0,2
20,1,1,1,1,1,1,1,1,1,1,1,0,2
21,1,1,4,1,1,1,1,1,1,1,1,0,4
22,2,2,2,2,2,2,2,2,2,2,2,3,6
23,1,1,1,5,5,7,5,5,5,5,5,0,2
24,2,2,2,2,2,2,2,2,2,2,2,3,6
25,0,0,1,0,0,0,0,0,7,11,11,0,2
26,2,2,2,2,2,2,2,2,2,2,2,3,6
27,0,2,0,4,0,7,5,9,10,10,10,0,2
28,1,1,4,1,1,1,1,1,1,9,9,4,4
29,2,2,2,2,2,5,7,2,2,9,9,3,6
30,0,3,3,3,3,3,3,3,3,3,3,1,3
31,0,3,3,3,3,3,3,3,3,3,3,1,3
32,0,3,3,3,3,3,3,3,3,3,3,1,3
33,0,3,3,3,3,3,3,3,3,3,3,1,3
34,1,3,3,3,5,5,7,7,7,7,12,3,1
35,2,2,4,4,4,4,4,4,4,4,4,4,0
36,0,0,0,5,6,6,6,6,6,6,6,2,5
37,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0,0,0,12,3,1
39,2,2,2,5,5,5,7,7,9,9,12,3,1
40,2,2,2,5,5,5,7,7,7,7,7,3,1
41,1,1,0,5,5,5,7,7,7,7,7,3,1
42,0,0,0,0,5,5,7,7,7,7,7,3,1
43,2,2,2,2,2,2,2,2,2,2,2,3,6
44,2,2,2,5,5,5,7,9,9,9,9,3,1
45,2,2,2,2,2,2,2,2,2,2,2,3,6
46,2,2,2,2,6,6,6,6,6,6,6,2,5
47,0,0,0,5,6,6,6,6,9,9,9,4,1
48,2,2,2,2,6,6,6,6,6,6,6,3,5
49,0,3,3,3,3,3,3,3,3,3,3,1,1
50,2,2,2,2,2,2,2,2,2,2,2,3,6
51,2,2,2,2,2,2,2,2,2,2,2,3,6
52,2,2,2,2,2,2,2,2,2,2,2,3,6
53,2,2,2,2,2,2,2,2,2,2,2,3,6
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.13586780643624077,0.1589762206712542,0.18243725959783136,0.15509098908635016,0.16531840976551473,0.16888594535817159,0.17296778638094162,0.1728849370585724,0.1704953414875991,0.16254312909475446,0.1568693146071198,0.20516661203471834,0.1673150262459257
NMI,0.2611876370564028,0.43470269126353334,0.6174300033599337,0.42756617512884121,0.58473975255718602,0.64014377101615627,0.69485196319300624,0.668862847466421,0.65118296954522825,0.6670638874660898,0.71342636100611312,1.0,0.60285467365736545
