,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,0,0,4,5,5,5,5,5
1,1,1,1,4,4,4,4,4
2,0,0,0,4,4,0,0,9
3,1,1,1,1,1,1,1,1
4,0,0,4,5,5,5,5,5
5,1,1,4,5,5,5,5,5
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,0,3,4,4,4,7,7,7
9,2,2,4,4,4,4,4,9
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,2,3,3,3,3,3,3,3
15,2,3,3,3,3,3,3,3
16,1,3,3,3,3,3,3,3
17,2,3,3,3,3,3,3,3
18,2,3,3,3,3,3,3,3
19,1,3,3,3,3,3,3,3
20,1,3,3,3,3,3,3,3
21,1,3,3,5,5,5,5,9
22,2,3,3,3,3,3,3,3
23,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1
25,2,2,2,2,2,2,2,2
26,1,3,3,3,3,3,3,3
27,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1
29,2,2,2,2,2,2,2,2
30,0,0,4,4,4,4,4,4
31,0,0,4,4,4,4,4,4
32,0,0,4,4,4,4,4,4
33,2,2,2,2,2,2,2,2
34,2,0,4,4,4,4,4,4
35,1,1,4,5,5,5,8,8
36,0,0,4,4,4,7,7,7
37,2,2,2,2,2,2,2,2
38,2,2,2,2,2,2,2,2
39,2,2,2,2,2,2,2,2
40,2,2,2,2,6,6,6,6
41,2,2,2,5,6,6,6,6
42,2,2,2,2,6,6,6,6
43,2,2,2,2,6,6,6,6
44,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2
46,1,1,1,1,1,1,1,1
47,0,0,4,5,2,5,0,0
48,2,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2,2
50,1,1,1,1,1,1,1,1
51,2,2,4,5,6,7,7,7
52,1,1,1,1,1,1,8,8
53,2,2,4,2,2,5,8,8
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
