,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,0,0,4,4,4,4,4,4,4,4,4,1,
1,0,0,0,0,6,6,6,6,6,6,6,2,
2,2,3,3,4,4,4,4,4,4,4,4,1,
3,1,1,3,3,3,3,3,3,3,11,3,4,
4,0,0,4,4,4,4,4,4,4,4,4,1,
5,1,1,1,1,1,1,1,1,1,1,1,4,
6,0,0,0,0,6,6,6,6,6,6,6,2,
7,1,1,1,1,6,6,6,6,6,6,6,4,
8,0,1,1,1,1,1,8,9,10,10,10,4,
9,2,3,3,3,3,3,3,3,3,11,3,1,
10,2,3,3,4,4,4,4,4,4,4,3,1,
11,1,1,1,1,1,1,1,1,1,1,1,4,
12,2,2,2,4,5,5,5,5,5,5,12,0,
13,1,1,1,1,1,1,1,1,1,11,1,4,
14,0,3,3,5,5,5,5,5,5,11,3,0,
15,2,2,4,5,5,5,5,5,5,8,5,0,
16,2,2,4,5,5,5,5,5,5,5,12,0,
17,2,2,4,5,5,5,5,5,5,5,5,0,
18,2,2,4,5,5,5,5,5,5,5,5,0,
19,2,2,0,5,5,5,5,5,5,5,12,0,
20,0,3,4,3,3,3,8,8,8,8,8,0,
21,2,2,0,0,0,0,6,6,6,10,5,0,
22,0,3,4,3,3,3,8,8,8,8,8,0,
23,2,3,3,2,2,2,2,2,2,2,2,3,
24,2,2,2,2,2,2,2,2,2,2,2,3,
25,1,1,3,3,3,3,3,3,3,1,1,4,
26,0,0,2,2,2,2,2,9,9,9,11,3,
27,1,1,1,1,1,1,1,1,1,1,1,4,
28,1,1,1,1,1,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,1,1,1,1,1,4,
30,2,3,3,3,3,3,3,3,3,3,9,1,
31,2,3,3,3,3,3,3,3,3,3,9,1,
32,0,3,3,3,3,3,8,8,8,8,8,0,
33,0,3,3,3,3,3,3,3,3,3,9,1,
34,0,0,0,0,0,0,0,4,4,0,0,3,
35,2,2,4,4,2,2,4,4,10,4,4,1,
36,0,0,0,0,0,0,8,9,10,10,10,4,
37,2,2,2,2,2,5,5,5,5,2,1,3,
38,0,2,3,0,0,3,3,5,4,4,4,3,
39,1,1,1,1,1,1,1,1,1,1,1,4,
40,0,3,3,0,0,7,7,7,7,7,7,2,
41,1,1,1,0,0,7,7,7,7,7,7,2,
42,1,1,1,0,0,7,7,7,7,7,7,2,
43,2,2,2,2,2,2,2,9,9,9,11,3,
44,1,1,1,1,1,1,1,1,1,1,1,4,
45,0,0,4,4,4,4,8,9,9,9,11,3,
46,2,3,3,2,2,2,2,2,2,2,2,3,
47,1,1,1,1,1,1,1,1,1,1,1,4,
48,1,1,1,1,1,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,1,1,1,1,1,4,
50,2,2,2,2,2,2,2,2,2,2,2,3,
51,2,2,2,2,2,2,2,2,2,2,2,3,
52,2,2,2,2,2,2,2,2,2,2,2,3,
53,2,2,2,2,2,2,2,1,1,2,2,3,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.0668342161307528,0.09167217447917236,0.10102744278553537,0.13514594313051972,0.13442879898321153,0.12451604311730344,0.12472021673636156,0.12138728549539186,0.11560793265641463,0.11788202212599094,0.11541534168909254,0.15527583028884823,
NMI,0.40462356346183342,0.47435069239591687,0.44563636884370517,0.65123864032608347,0.62388223836773071,0.60595897065287641,0.65923616765287896,0.62945347214785452,0.63816104278755559,0.70985782972103073,0.6902997322260398,1.0,
Silhoutte,0.00919396,0.02337674,0.03364121,0.10730341,0.11975687,0.13061799,0.15359712,0.16389043,0.17591692,0.20321027,0.23629522,0.11036728,
