,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0,0,0,0,7,7,7,6,10,7,7,1,1
2,2,2,2,5,5,5,5,5,5,5,5,5,1,2
3,2,2,2,2,2,2,2,2,2,2,2,2,1,2
4,0,0,0,0,6,7,7,7,7,7,12,13,0,1
5,1,1,1,1,1,1,7,7,7,7,1,1,0,0
6,0,0,0,3,4,7,7,7,7,7,7,7,1,1
7,0,2,2,2,4,4,4,4,4,4,4,4,3,3
8,2,2,2,2,2,2,4,4,4,4,4,4,3,3
9,1,1,1,1,1,1,1,1,1,1,1,1,0,0
10,2,2,0,2,6,7,7,7,7,7,12,12,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,0,0
12,2,0,0,2,6,7,7,7,7,7,12,12,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,0,0
14,1,0,0,0,6,6,6,6,9,11,11,11,2,4
15,2,2,4,4,6,6,6,6,6,6,6,6,2,4
16,2,2,4,4,6,6,8,8,8,8,8,8,2,4
17,1,3,4,4,6,6,6,6,9,11,11,11,2,4
18,2,2,4,4,6,6,8,8,8,8,8,8,2,4
19,0,0,0,2,2,2,2,2,2,2,2,2,1,2
20,2,3,3,5,5,5,5,5,5,5,5,5,1,2
21,1,1,1,1,1,1,1,1,1,1,1,1,0,0
22,2,3,3,5,5,5,5,5,5,5,5,5,1,2
23,0,0,2,3,4,4,4,4,4,4,4,4,3,3
24,2,2,4,4,4,4,8,8,8,8,8,8,2,4
25,2,2,2,2,2,2,2,2,2,2,2,2,1,2
26,2,2,4,4,6,6,6,6,6,6,6,6,2,4
27,2,2,2,2,2,2,2,2,2,2,2,2,1,2
28,1,2,1,1,1,1,1,1,1,1,1,1,0,0
29,0,3,3,3,3,3,3,9,9,9,3,9,3,3
30,2,2,2,2,2,2,2,2,2,2,2,2,1,2
31,2,3,4,5,5,5,5,5,5,5,5,5,1,2
32,2,2,4,5,5,5,5,5,5,5,5,5,1,2
33,2,2,2,2,2,2,4,4,4,4,4,4,3,3
34,0,3,3,3,3,3,3,3,3,3,3,3,3,3
35,1,1,1,1,1,1,1,1,1,1,1,1,0,0
36,1,1,1,1,1,1,1,1,1,1,1,1,0,1
37,0,0,0,0,0,0,0,0,10,10,10,10,3,1
38,0,3,3,3,0,0,3,3,10,10,10,10,3,1
39,2,2,4,4,6,6,8,8,8,8,8,8,2,4
40,0,3,3,3,3,3,3,3,3,3,3,3,3,3
41,0,0,0,0,0,0,3,3,3,3,9,9,3,1
42,0,3,3,3,3,3,3,3,3,3,3,3,3,3
43,0,0,0,0,4,7,7,7,10,11,7,7,3,1
44,0,3,3,3,3,3,3,3,3,3,3,3,3,3
45,0,0,0,0,6,6,6,6,6,6,6,6,2,4
46,2,2,4,4,6,6,8,8,8,8,8,8,2,4
47,0,0,0,0,0,3,3,9,9,9,7,7,3,1
48,0,0,0,0,0,0,4,4,10,9,9,9,3,1
49,0,3,3,3,4,4,4,4,4,4,4,4,3,3
50,0,3,3,3,3,4,4,4,4,4,4,4,3,3
51,0,0,0,0,0,0,0,0,0,11,11,11,2,1
52,1,1,1,1,1,1,1,1,1,1,1,1,0,0
53,0,3,3,3,3,3,4,9,9,9,9,4,3,3
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1611479590294578,0.12895141656363607,0.17619733494539713,0.20988449552794794,0.2006437493868557,0.21297407099136725,0.20266858162139822,0.1963385424647094,0.17807907894731995,0.18516856585197666,0.18897797369005961,0.187879946622541,0.2535213572518062,0.22329517320633946
NMI,0.47223026310944344,0.33418815043993783,0.49824120913019304,0.62706189871718321,0.57485216619013046,0.65708757512390392,0.7121818618002248,0.69546372250914679,0.67281091374479218,0.68399232085230866,0.70682597229891875,0.7220995331784259,1.0,0.72707838766931532
