,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,0,0,0,6,6,6,6,6,6,0,0
1,1,1,4,5,5,7,1,1,1,7,1,1
2,1,1,4,4,4,4,4,4,4,4,1,2
3,1,1,2,4,5,7,8,8,8,8,1,1
4,0,0,0,5,6,6,6,6,6,6,0,0
5,1,1,2,2,2,7,7,7,7,1,1,3
6,2,2,2,5,5,7,1,1,1,7,1,1
7,1,1,2,5,5,7,1,1,1,7,1,1
8,1,1,2,5,5,1,2,2,2,2,1,3
9,2,2,1,1,1,1,8,8,8,8,1,1
10,1,1,4,5,6,6,8,8,8,8,1,1
11,2,2,1,1,1,1,2,2,2,2,2,0
12,1,1,2,2,2,2,7,7,7,1,1,1
13,1,1,2,2,1,7,8,8,8,8,1,1
14,0,0,0,0,0,0,0,9,9,9,1,0
15,1,1,2,2,2,2,7,7,7,1,1,4
16,2,2,2,2,2,2,7,7,7,1,1,4
17,1,1,2,2,2,2,7,7,7,1,1,4
18,1,1,2,2,2,2,7,7,7,1,1,4
19,1,1,2,2,2,2,7,7,7,1,1,4
20,1,1,4,4,4,4,4,4,4,4,1,2
21,1,1,2,2,2,7,1,1,1,7,1,1
22,1,1,4,4,4,4,7,7,7,4,1,2
23,0,3,1,1,1,7,8,8,8,8,1,1
24,2,3,3,3,3,3,3,3,3,3,2,5
25,1,1,2,0,0,7,1,9,9,9,1,0
26,1,1,0,2,6,2,8,7,10,10,1,0
27,2,2,1,1,1,1,2,2,2,2,2,3
28,1,1,2,4,4,4,4,4,2,2,1,3
29,2,2,1,1,1,1,3,3,2,3,2,3
30,1,1,4,4,4,4,4,4,4,4,1,2
31,2,2,4,4,4,4,4,4,4,4,1,5
32,1,3,4,4,4,4,4,4,4,4,1,2
33,1,1,4,4,4,4,4,4,4,4,1,2
34,2,2,3,3,3,3,3,3,3,3,2,5
35,2,2,3,3,6,6,6,6,6,6,2,5
36,2,2,1,1,1,1,2,2,2,2,2,3
37,0,0,0,0,0,0,0,9,9,11,2,0
38,0,0,1,1,1,7,2,9,9,11,2,0
39,2,2,1,1,1,1,2,2,2,11,2,3
40,2,2,2,5,5,5,5,5,5,5,2,6
41,1,1,2,5,5,5,5,5,5,5,2,6
42,1,1,2,5,5,5,5,5,5,5,2,6
43,2,2,3,3,3,3,3,3,3,3,2,5
44,2,2,1,1,1,1,2,2,2,11,2,3
45,2,2,0,5,0,7,3,9,10,10,2,0
46,2,2,3,3,3,3,3,3,3,3,2,5
47,2,2,1,1,1,1,2,2,2,2,2,3
48,2,2,1,1,1,1,2,2,2,2,2,3
49,2,2,1,1,1,4,4,4,4,4,2,5
50,2,3,3,3,3,3,3,3,3,3,2,5
51,2,3,3,3,3,3,3,3,3,3,2,5
52,2,3,3,3,3,3,3,3,3,3,2,5
53,2,2,3,3,3,3,3,3,3,3,2,5
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.13602355434149815,0.11413452068988016,0.11559715169915105,0.11644751481100639,0.10919239801628713,0.12240574076841763,0.13602196607213293,0.13222783562261042,0.13665869459413965,0.1324295713363325,0.19336203471380364,0.13530415049185887
NMI,0.41880966302805722,0.34620303970158434,0.4000513668375007,0.39274943404108797,0.35779499697628175,0.37254795588084494,0.49477173320417661,0.46487394799406867,0.42051243251127818,0.4586576075390133,1.0,0.37945340367015168
