,Cluster 2,Cluster 3,Cluster 4,Louvain,LPA
0,0,3,3,2,0
1,99,99,99,99,99
2,99,99,99,99,99
3,2,2,4,9,1
4,2,3,3,2,0
5,2,3,4,2,2
6,1,3,3,2,0
7,0,3,3,2,0
8,99,99,99,99,99
9,2,2,2,9,3
10,2,2,4,9,2
11,99,99,99,99,99
12,1,1,4,12,2
13,1,1,1,12,4
14,1,1,1,12,4
15,99,99,99,99,99
16,1,1,1,12,4
17,99,99,99,99,99
18,1,1,1,12,4
19,1,1,1,12,4
20,99,99,99,99,99
21,1,1,1,12,4
22,99,99,99,99,99
23,2,2,2,9,3
24,99,99,99,99,99
25,99,99,99,99,99
26,1,1,1,12,4
27,1,1,1,13,5
28,1,1,1,13,5
29,1,1,1,13,5
30,2,2,2,9,3
31,2,2,2,9,3
32,2,2,2,9,3
33,2,2,2,9,3
34,99,99,99,99,99
35,2,2,4,2,1
36,99,99,99,99,99
37,99,99,99,99,99
38,1,1,1,13,6
39,99,99,99,99,99
40,1,1,1,13,5
41,99,99,99,99,99
42,99,99,99,99,99
43,2,2,2,9,1
44,99,99,99,99,99
45,99,99,99,99,99
46,99,99,99,99,99
47,99,99,99,99,99
48,99,99,99,99,99
49,1,1,1,13,6
50,1,1,1,13,5
51,1,1,1,13,7
52,1,1,1,13,7
53,2,2,2,9,1
54,99,99,99,99,99
55,99,99,99,99,99
Modularity,0.034064966616403874,0.05525623655501353,0.0527551489793827,0.11879328690163107,0.07739530523096753
NMI,0.62714802959818616,0.78161308147950681,0.67438299739211705,1.0,0.72707236673275477
