,Cluster 2,Cluster 3,Cluster 4,Louvain,
0,0,3,3,2,
1,99,99,99,99,
2,99,99,99,99,
3,2,2,4,9,
4,2,3,3,2,
5,2,3,4,2,
6,1,3,3,2,
7,0,3,3,2,
8,99,99,99,99,
9,2,2,2,9,
10,2,2,4,9,
11,99,99,99,99,
12,1,1,4,12,
13,1,1,1,12,
14,1,1,1,12,
15,99,99,99,99,
16,1,1,1,12,
17,99,99,99,99,
18,1,1,1,12,
19,1,1,1,12,
20,99,99,99,99,
21,1,1,1,12,
22,99,99,99,99,
23,2,2,2,9,
24,99,99,99,99,
25,99,99,99,99,
26,1,1,1,12,
27,1,1,1,13,
28,1,1,1,13,
29,1,1,1,13,
30,2,2,2,9,
31,2,2,2,9,
32,2,2,2,9,
33,2,2,2,9,
34,99,99,99,99,
35,2,2,4,2,
36,99,99,99,99,
37,99,99,99,99,
38,1,1,1,13,
39,99,99,99,99,
40,1,1,1,13,
41,99,99,99,99,
42,99,99,99,99,
43,2,2,2,9,
44,99,99,99,99,
45,99,99,99,99,
46,99,99,99,99,
47,99,99,99,99,
48,99,99,99,99,
49,1,1,1,13,
50,1,1,1,13,
51,1,1,1,13,
52,1,1,1,13,
53,2,2,2,9,
54,99,99,99,99,
55,99,99,99,99,
Modularity,0.034064966616403874,0.05525623655501353,0.0527551489793827,0.11879328690163107,
NMI,0.62714802959818616,0.78161308147950681,0.67438299739211705,1.0,
Silhoutte,0.4836858,0.5280503,0.49842851,0.63805798,
