,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,0,0,0,1,6,6,6,6
1,1,0,1,1,6,7,8,8
2,2,2,2,2,2,2,2,2
3,2,1,4,4,4,4,4,4
4,0,0,1,1,6,6,6,6
5,2,2,2,2,2,2,2,2
6,1,0,1,1,6,7,8,8
7,2,0,3,5,5,7,5,5
8,2,2,2,2,2,2,2,2
9,1,1,4,4,4,4,4,4
10,0,0,1,1,6,6,6,6
11,2,2,2,2,2,2,2,2
12,1,3,3,3,3,3,3,3
13,2,3,3,3,3,3,3,3
14,2,2,2,2,2,2,2,2
15,2,3,3,3,3,3,3,3
16,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,0,1,4,4,4,4,4,4
20,2,3,3,3,3,3,3,5
21,2,2,2,2,2,7,8,8
22,2,2,4,4,4,4,4,3
23,1,3,3,3,3,3,3,3
24,1,3,3,3,3,3,3,3
25,2,2,2,2,2,2,3,9
26,1,3,3,3,5,3,3,9
27,1,1,1,1,1,1,1,1
28,2,2,4,4,4,4,4,4
29,1,1,1,1,1,1,1,1
30,2,2,4,4,4,4,4,4
31,2,2,4,4,4,4,4,4
32,2,2,4,4,4,4,4,4
33,1,1,4,4,4,4,4,4
34,1,1,1,5,5,5,5,5
35,1,1,1,1,1,2,1,1
36,0,0,0,5,5,5,5,5
37,1,1,1,1,1,7,1,1
38,1,1,1,1,1,1,1,7
39,1,1,1,1,1,1,1,1
40,0,1,1,5,5,1,7,7
41,1,1,1,1,1,1,7,7
42,1,1,1,1,1,1,7,7
43,1,3,3,3,3,3,3,9
44,1,1,1,1,1,1,1,1
45,1,3,3,5,5,5,3,9
46,1,3,3,3,3,3,3,3
47,2,2,2,2,2,2,2,2
48,1,1,1,1,1,7,1,1
49,1,1,1,1,1,1,1,1
50,1,3,1,1,1,3,1,1
51,1,3,3,3,3,3,3,3
52,1,3,3,3,3,3,3,3
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
