,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,2,2,3,3,6,2,2
1,2,2,3,3,6,2,2
2,2,2,3,3,6,2,2
3,0,3,3,3,3,3,3
4,2,2,3,3,6,2,2
5,1,2,3,5,5,5,5
6,1,2,3,3,6,2,2
7,1,2,3,5,5,2,2
8,0,0,4,5,5,5,8
9,0,3,3,3,3,3,3
10,2,2,3,5,5,5,5
11,2,2,3,5,5,5,5
12,1,2,3,5,5,5,5
13,1,1,1,5,3,3,3
14,2,2,2,2,2,7,7
15,2,3,2,2,2,7,7
16,2,3,2,2,2,7,7
17,2,3,2,2,2,7,7
18,2,3,2,2,2,7,7
19,2,3,2,2,2,7,7
20,2,3,2,2,2,7,7
21,2,3,2,2,2,7,7
22,1,1,1,1,1,1,1
23,0,3,3,3,3,3,3
24,0,3,3,3,3,3,3
25,1,1,1,1,1,1,1
26,1,1,1,2,2,7,7
27,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1
30,0,3,4,4,4,4,4
31,0,3,4,4,4,4,4
32,0,3,4,4,4,4,4
33,1,3,4,4,4,4,4
34,1,3,4,4,4,4,4
35,2,2,3,3,6,2,2
36,1,1,1,1,1,1,1
37,1,1,4,4,6,6,6
38,1,1,4,1,6,6,6
39,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1
41,1,1,1,1,1,0,6
42,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1
50,1,3,4,4,4,4,4
51,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1
55,99,99,99,99,99,99,99
