,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,2,2,2,2,6,6,6,6,6,6,2,0
1,2,3,3,3,6,7,8,8,8,8,2,1
2,2,3,3,3,6,6,6,6,10,10,2,2
3,2,3,3,3,3,3,3,3,3,3,2,2
4,1,2,2,5,6,6,6,6,6,6,2,0
5,0,0,4,4,4,7,4,4,4,11,3,3
6,0,0,4,4,4,7,8,8,8,8,2,1
7,0,0,4,4,4,4,7,7,9,4,3,3
8,0,0,4,4,4,4,7,7,9,4,3,3
9,2,3,3,3,3,3,3,3,3,3,2,2
10,2,3,3,3,3,3,3,3,4,11,2,2
11,1,1,4,4,4,7,4,4,4,11,3,3
12,0,0,4,4,4,7,4,4,4,11,3,3
13,1,3,3,3,3,3,3,3,3,3,2,1
14,2,2,2,2,2,2,2,2,2,2,0,4
15,2,2,2,2,2,2,2,2,2,2,0,4
16,2,2,2,2,2,2,2,2,2,2,0,4
17,2,2,2,2,2,2,2,2,2,2,0,4
18,2,2,2,2,2,2,2,2,2,2,0,4
19,2,0,0,0,0,0,0,9,9,9,0,4
20,0,2,2,2,2,2,2,2,2,2,0,4
21,2,2,2,4,2,7,2,2,2,2,0,1
22,99,99,99,99,99,99,99,99,99,99,99,99
23,2,3,3,3,3,3,3,3,3,3,2,2
24,1,1,1,1,1,1,1,1,1,1,7,3
25,1,1,1,1,1,1,1,1,1,1,7,5
26,2,2,2,2,2,2,2,2,2,2,0,1
27,2,2,2,2,2,2,2,9,3,9,0,4
28,1,1,1,5,5,5,5,5,5,5,7,5
29,1,1,1,5,5,5,5,5,5,5,7,5
30,2,3,3,3,3,3,3,3,10,10,2,2
31,2,3,3,3,3,3,3,3,0,0,2,3
32,2,3,3,3,3,3,3,3,10,10,2,2
33,1,1,1,1,1,1,1,1,1,1,7,5
34,1,1,1,1,1,3,1,1,10,10,7,3
35,2,2,2,5,6,6,6,6,6,6,2,0
36,0,0,4,4,4,4,7,7,9,4,3,3
37,0,0,3,3,0,4,7,9,7,7,7,3
38,1,1,1,1,1,1,1,1,1,1,7,5
39,1,1,1,1,1,1,1,1,1,1,7,5
40,1,1,1,5,5,5,5,5,5,5,7,6
41,1,1,1,1,1,1,1,1,1,1,7,5
42,99,99,99,99,99,99,99,99,99,99,99,99
43,1,1,1,5,5,5,5,5,5,5,7,6
44,99,99,99,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99,99,99,99
46,1,1,1,1,1,1,1,1,1,1,7,5
47,0,0,0,0,0,4,7,9,7,7,7,3
48,1,1,1,1,1,1,1,1,1,1,7,5
49,1,1,1,5,5,5,5,5,5,5,7,6
50,1,1,1,1,1,1,1,1,1,1,7,5
51,1,1,1,1,1,1,1,1,1,1,7,5
52,1,1,1,1,1,1,1,1,1,1,7,3
53,1,1,1,1,1,1,1,1,1,1,7,5
54,1,1,1,5,5,5,5,5,5,5,7,6
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1339746916269292,0.17788106372934892,0.17749926191762191,0.1546925483300854,0.17300538578513477,0.16299540419107586,0.1680382755470516,0.16369782022236987,0.14369508445775403,0.14798980848393334,0.19958421028623374,0.14733289630123506
NMI,0.52702069227849813,0.66954778520960478,0.74093336602741955,0.6311615084577531,0.77200641214175691,0.65929270939097284,0.76348302913224431,0.76198683174076132,0.65750347223912298,0.70226445486196998,1.0,0.65514544047267886
