,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,0,0,5,5,5,5,5,5
1,1,0,4,4,4,4,8,8,8
2,0,0,4,4,4,4,4,8,4
3,1,1,1,1,1,1,1,1,1
4,0,0,0,5,5,5,5,5,5
5,0,0,4,5,5,5,5,8,8
6,1,1,1,1,1,1,8,8,8
7,1,1,1,1,1,1,1,1,1
8,0,3,3,4,4,7,7,7,7
9,2,2,4,2,0,0,4,8,2
10,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1
14,1,3,3,3,3,3,3,3,3
15,1,3,3,3,3,3,3,3,3
16,1,3,3,3,3,3,3,3,3
17,1,3,3,3,3,3,3,3,3
18,1,3,3,3,3,3,3,3,3
19,1,3,3,3,3,3,3,3,3
20,1,3,3,3,3,3,3,3,3
21,1,3,3,5,5,5,8,8,8
22,1,3,3,3,3,3,3,3,3
23,1,3,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1
25,2,2,2,2,6,6,6,6,2
26,2,3,3,3,6,6,6,6,3
27,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1
29,2,2,2,2,2,2,2,2,2
30,0,0,4,4,4,4,4,4,4
31,0,0,4,4,4,4,4,4,4
32,0,0,4,4,4,4,4,4,10
33,2,2,2,2,2,2,2,2,2
34,1,0,4,4,4,4,4,4,4
35,2,2,4,5,5,5,5,9,9
36,0,3,4,4,4,7,7,7,7
37,2,2,2,2,2,2,2,2,2
38,2,2,2,2,2,2,2,2,2
39,2,2,2,2,2,2,2,2,2
40,2,2,2,2,6,6,6,6,6
41,0,2,2,2,6,6,6,6,6
42,2,2,2,2,6,6,6,6,6
43,2,2,2,2,6,6,6,6,6
44,2,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2,2
46,1,1,1,1,1,1,1,1,1
47,0,0,4,5,5,5,5,9,9
48,2,2,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2,2,2
50,1,1,1,1,1,1,1,1,1
51,2,2,2,2,6,6,7,7,7
52,1,1,1,5,5,5,5,9,9
53,2,2,2,2,2,2,5,9,9
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
