,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,1,1,1,1,1,1,8
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1
4,1,1,1,1,1,1,8
5,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1
23,2,2,2,2,2,2,2
24,0,0,4,4,4,7,7
25,1,1,4,4,1,7,7
26,0,0,4,4,4,4,4
27,2,3,3,3,3,3,3
28,2,3,3,3,3,3,3
29,2,2,2,2,2,2,2
30,1,3,3,3,3,3,3
31,0,3,3,3,3,3,3
32,0,3,3,3,3,3,3
33,0,3,3,3,3,3,3
34,2,3,3,3,3,3,3
35,1,1,1,1,6,1,8
36,2,2,2,2,2,2,2
37,0,0,0,0,6,6,6
38,2,2,2,2,2,2,2
39,2,2,2,2,2,2,2
40,2,2,4,5,5,5,5
41,1,1,4,5,5,5,5
42,1,1,4,5,5,5,5
43,0,0,4,4,4,4,4
44,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2
46,2,2,2,2,2,2,2
47,2,2,2,2,2,2,2
48,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2
50,2,2,2,2,2,2,2
51,2,2,2,2,2,2,2
52,1,1,1,1,6,1,1
53,2,2,2,2,2,2,2
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
