,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,0,0,1,5,5,5,5,5
1,0,3,4,4,6,6,8,9
2,1,1,1,5,5,5,5,5
3,1,1,4,1,1,1,1,1
4,0,0,4,5,5,5,5,5
5,1,1,1,1,1,1,1,1
6,1,1,1,1,6,6,8,9
7,0,1,1,1,6,6,6,6
8,0,2,0,2,6,6,6,6
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,2,2,2,2,2,2,2,2
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1
23,1,2,4,4,4,4,4,8
24,1,2,4,4,4,4,4,4
25,1,1,4,4,4,4,4,4
26,1,2,4,4,4,4,4,8
27,2,2,2,2,2,2,2,2
28,2,3,3,3,3,3,3,3
29,2,3,3,3,3,3,3,3
30,2,3,3,3,3,3,3,3
31,0,3,3,3,3,3,3,3
32,0,3,3,3,3,3,3,3
33,0,3,3,3,3,3,3,3
34,0,3,3,3,3,3,3,3
35,1,1,1,5,5,5,5,5
36,2,2,2,2,6,6,6,6
37,1,0,0,0,0,2,0,0
38,2,2,2,2,2,2,2,2
39,2,2,2,2,2,2,2,2
40,2,2,2,2,2,7,7,7
41,2,2,2,2,2,7,7,7
42,2,2,2,2,2,7,7,7
43,0,2,4,4,4,4,4,4
44,2,2,2,2,2,2,2,2
45,2,2,4,4,4,4,4,8
46,1,1,1,1,1,1,1,1
47,2,2,2,2,2,2,2,2
48,2,2,2,2,2,2,2,2
49,2,3,3,3,3,3,3,3
50,1,1,4,4,4,4,4,8
51,2,0,2,2,4,4,4,4
52,2,1,2,5,5,2,2,4
53,2,2,2,2,2,7,2,2
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
