,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,2,2,2,6,6,6,6,6,6
1,0,0,0,0,0,0,8,8,8,8
2,2,2,2,2,6,6,6,6,6,6
3,2,3,3,3,4,4,7,9,9,9
4,2,2,2,2,6,6,6,6,6,6
5,0,0,4,4,3,7,4,4,4,4
6,0,0,0,0,0,3,8,8,8,8
7,0,3,4,4,3,3,3,3,3,3
8,0,3,4,4,3,3,3,3,3,3
9,0,3,3,3,4,4,7,9,9,9
10,0,0,4,4,3,7,4,4,4,4
11,0,3,4,4,3,7,4,4,4,4
12,0,3,4,4,3,7,4,4,4,4
13,0,0,4,3,4,4,7,9,9,9
14,2,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2
19,0,2,2,2,2,2,0,9,7,9
20,2,2,2,2,2,2,2,2,2,2
21,2,3,4,4,3,2,2,2,2,2
22,99,99,99,99,99,99,99,99,99,99
23,1,3,3,3,4,4,7,9,9,9
24,1,1,1,5,5,5,5,5,5,7
25,1,1,1,5,5,5,5,5,5,5
26,2,2,2,2,2,2,2,2,2,2
27,2,2,2,2,2,2,2,2,2,2
28,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1
30,2,3,3,1,1,1,1,1,1,1
31,2,3,3,1,1,1,1,1,1,1
32,2,3,3,1,1,1,4,7,10,10
33,1,1,1,5,5,5,5,5,5,5
34,1,1,1,5,5,5,5,7,10,10
35,2,2,2,2,6,6,6,6,6,6
36,1,1,1,4,3,3,3,3,3,3
37,0,0,4,5,3,4,7,7,7,11
38,1,1,1,5,5,5,5,5,5,5
39,1,1,1,5,5,5,5,5,5,5
40,1,1,1,1,1,1,1,1,1,1
41,1,1,1,5,5,5,5,5,5,5
42,99,99,99,99,99,99,99,99,99,99
43,1,3,3,1,1,1,1,1,1,1
44,99,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99,99
46,1,1,1,5,5,5,5,5,5,5
47,0,0,0,4,0,3,3,7,7,11
48,1,1,1,5,5,5,5,1,1,5
49,1,3,3,1,1,1,1,1,1,1
50,1,1,1,5,5,5,5,5,5,5
51,1,1,1,5,5,5,5,5,5,5
52,0,0,0,0,0,0,0,0,4,5
53,1,1,1,5,5,5,5,5,5,5
54,2,3,3,1,1,1,1,1,1,1
55,99,99,99,99,99,99,99,99,99,99
