,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,0,0,4,4,4,4,4,4
1,0,0,0,0,6,6,6,6
2,0,0,4,4,4,4,4,4
3,2,2,2,5,5,5,5,9
4,0,0,4,4,4,4,4,4
5,2,2,2,2,2,2,5,5
6,1,0,1,1,6,6,6,6
7,0,0,0,0,6,6,6,6
8,1,3,3,5,5,7,8,8
9,2,2,2,5,5,5,5,5
10,2,2,2,5,5,5,5,5
11,2,2,2,5,5,5,5,5
12,2,2,2,2,2,2,5,5
13,2,2,2,2,2,5,5,5
14,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,5,2
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2
23,1,3,3,3,3,3,3,3
24,0,3,3,3,3,3,3,3
25,2,2,2,2,0,0,5,5
26,0,3,3,3,3,3,3,3
27,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,1,1,1,5,5,1,9
31,0,0,0,0,0,0,6,9
32,0,0,0,5,5,5,7,9
33,2,2,2,2,2,2,2,2
34,1,1,1,1,1,1,1,1
35,1,1,4,4,4,4,4,4
36,1,1,1,5,1,7,8,8
37,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,2,3,3,3,6,7,7,7
41,2,3,3,5,6,7,7,7
42,2,3,3,5,6,7,7,7
43,1,3,3,3,3,3,3,3
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,8,8
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,2,3,3,3,3,3,3,3
51,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
