,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,4,3,0
1,0,0,0,0,0,0,6,6,6,6,6,2,1
2,1,1,4,4,1,1,1,4,1,1,1,3,2
3,2,2,2,2,2,2,2,2,2,2,2,1,3
4,0,0,4,4,4,4,4,4,4,4,4,3,0
5,0,0,0,5,0,7,7,7,7,7,7,0,4
6,0,0,0,0,0,0,6,6,6,6,6,2,1
7,0,0,0,5,5,5,6,6,6,6,6,2,1
8,0,0,0,5,5,5,5,5,5,5,5,2,5
9,0,0,0,0,6,6,8,8,8,8,8,1,4
10,1,0,4,4,4,7,7,7,7,7,7,0,4
11,0,0,0,5,5,7,7,7,7,7,7,0,4
12,1,3,3,3,3,7,7,7,7,7,7,0,4
13,0,0,0,0,0,0,0,0,10,11,0,0,4
14,1,3,3,3,3,3,3,3,3,3,3,0,6
15,1,3,3,3,3,3,3,3,3,3,3,0,6
16,1,3,3,3,3,3,3,3,3,3,3,0,6
17,1,3,3,3,3,3,3,3,3,3,3,0,6
18,1,3,3,3,3,3,3,3,3,3,3,0,6
19,1,3,3,3,3,3,3,3,3,8,12,0,4
20,1,3,3,3,3,3,3,3,3,3,3,0,6
21,1,3,3,3,3,7,7,7,7,7,7,0,4
22,0,3,3,3,3,3,3,3,3,3,3,0,6
23,0,0,0,0,6,6,8,8,8,8,8,1,4
24,1,1,1,1,1,1,1,1,1,1,1,3,2
25,0,3,3,3,3,3,3,3,3,3,3,0,6
26,1,1,1,1,1,1,1,1,1,1,1,3,2
27,0,0,0,0,3,3,3,8,0,11,12,0,4
28,2,2,2,2,2,2,2,2,2,2,2,1,3
29,1,1,1,1,6,6,6,1,1,1,1,3,2
30,2,2,2,2,2,2,2,2,2,2,2,1,3
31,2,2,2,2,2,2,2,2,2,2,2,1,3
32,2,2,2,2,2,2,2,2,2,2,2,1,3
33,2,2,2,2,2,2,2,2,2,2,2,1,3
34,1,1,4,4,6,6,6,9,9,9,9,3,7
35,0,0,4,4,4,4,4,4,4,4,4,3,0
36,0,0,4,5,5,5,5,5,5,5,5,2,5
37,0,0,0,0,0,0,0,6,0,0,11,2,4
38,1,0,4,4,6,6,6,9,9,9,9,3,7
39,1,1,1,1,6,6,6,9,10,10,10,3,7
40,1,1,4,4,6,6,6,9,9,9,11,3,7
41,0,0,4,4,6,6,6,9,9,9,11,3,7
42,0,0,4,4,6,6,6,9,9,9,11,3,7
43,1,1,1,1,1,1,1,1,1,1,1,3,2
44,1,1,1,1,6,6,1,1,10,10,10,3,7
45,1,1,1,1,1,1,1,1,1,1,1,3,2
46,0,1,1,5,5,5,5,5,5,5,5,2,5
47,1,1,1,5,6,5,5,8,10,10,10,2,7
48,1,1,1,1,1,1,1,1,1,1,1,3,2
49,2,2,2,2,2,2,2,2,2,2,2,1,3
50,1,1,1,1,1,1,1,1,1,1,1,3,2
51,1,1,1,1,1,1,1,1,1,1,1,3,2
52,1,1,1,1,4,7,7,1,7,1,7,3,4
53,1,1,1,1,6,6,6,9,10,10,10,3,7
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.0882628837012594,0.19326407176665397,0.19062121007254676,0.19400321900454837,0.19878998196834957,0.19624297247875389,0.19596980183266394,0.19523420432001282,0.18536745517202732,0.1823016536541629,0.17640425322229716,0.2318911049545525,0.19540018970956102
NMI,0.37597333477001826,0.55679291842151379,0.60323337593024928,0.67859585868947714,0.63399754265377306,0.69237236606681374,0.68147886548613645,0.73041822557710623,0.66406854123136128,0.70524259320954041,0.66363907584661597,1.0,0.64446643443694362
