,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,0,0,4,4,4,4,4,9,9,9,9,9,1,0
1,0,0,0,0,6,6,6,6,10,10,10,10,2,1
2,1,1,4,4,4,4,4,9,9,9,9,9,1,0
3,0,3,3,3,3,3,3,3,3,3,3,3,2,2
4,0,0,4,4,4,4,4,9,9,9,9,9,1,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,3
6,0,0,0,0,6,6,6,6,10,10,10,10,2,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,3
8,1,1,4,4,4,4,4,4,4,4,4,11,1,4
9,2,3,3,3,3,3,3,3,3,3,3,3,2,2
10,1,1,1,1,1,1,4,4,4,4,4,4,1,4
11,1,1,4,4,4,4,4,4,4,4,4,4,1,4
12,1,1,1,1,1,1,1,1,1,1,1,1,1,3
13,0,3,3,3,3,3,3,3,3,3,3,3,2,2
14,2,3,3,3,5,6,6,6,6,6,6,6,2,5
15,1,1,1,1,1,1,1,1,1,1,1,1,1,3
16,1,1,1,1,1,1,1,1,1,1,1,1,1,3
17,1,1,1,1,1,1,1,1,1,1,1,1,1,3
18,1,1,1,1,1,1,1,1,1,1,1,1,1,3
19,1,1,1,1,1,1,1,1,1,1,1,1,1,3
20,1,1,1,1,1,1,1,1,1,1,1,1,1,3
21,2,3,3,3,3,3,3,3,3,3,3,3,2,2
22,1,1,1,1,1,1,1,1,1,1,1,1,1,3
23,2,3,3,3,3,3,3,3,3,3,3,3,2,2
24,2,0,0,0,6,6,6,6,6,6,6,6,2,5
25,0,0,0,0,6,6,6,6,6,6,6,6,2,5
26,2,3,3,3,3,3,3,3,3,3,3,13,2,2
27,2,2,2,2,2,2,2,2,2,2,2,2,3,6
28,2,2,2,2,2,2,2,2,2,2,2,2,3,6
29,2,2,2,2,2,2,2,2,2,2,2,2,3,6
30,2,2,2,2,2,2,2,2,2,2,2,2,3,6
31,0,0,4,4,4,4,8,8,5,4,10,4,3,7
32,2,2,2,2,2,2,2,2,2,2,2,2,3,6
33,2,2,2,2,2,2,2,2,8,8,7,2,3,7
34,2,2,2,2,2,2,2,2,2,2,2,2,3,6
35,1,1,1,1,1,1,1,9,9,9,9,9,1,6
36,2,0,4,4,4,6,8,8,8,11,11,11,3,7
37,0,0,0,0,0,6,8,8,8,8,8,8,3,7
38,2,2,2,2,2,2,2,2,2,2,12,13,3,7
39,2,3,4,4,4,4,8,8,4,4,12,11,3,7
40,0,0,0,5,5,5,5,5,5,5,5,5,0,8
41,0,0,0,5,5,5,5,5,5,5,5,5,0,8
42,0,0,0,5,5,5,5,5,5,5,5,5,0,8
43,0,3,3,5,6,7,7,7,7,7,7,13,2,2
44,2,2,2,2,2,2,2,2,2,2,2,2,3,6
45,2,2,2,2,2,2,2,2,2,2,2,2,3,6
46,2,3,4,4,4,4,4,4,4,4,4,4,3,4
47,0,0,4,4,4,6,8,8,8,8,8,8,3,7
48,2,2,2,2,2,2,8,8,2,2,12,2,3,6
49,2,2,2,2,2,2,2,2,2,2,2,2,3,6
50,2,2,2,2,2,7,7,7,7,7,2,13,3,6
51,0,0,0,0,6,7,7,7,7,7,7,7,3,7
52,0,0,0,0,0,0,0,0,0,0,0,0,3,7
53,0,0,0,0,6,7,7,7,7,7,7,7,3,7
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.14794981442070576,0.19528507420882935,0.20083545825547325,0.20199688321607684,0.19471884792725602,0.1924278584659821,0.18480416629022667,0.18798862739052594,0.1887511014520638,0.1867391899667562,0.17661391421053366,0.18275360462031828,0.23940909270621552,0.18796144404350443
NMI,0.50196138120546774,0.58028957031198847,0.6251870979961327,0.65396561392190988,0.65563400043437914,0.64601120566657866,0.71320720220343048,0.70205306443133608,0.65310012636884507,0.6644786960142236,0.65061515855962737,0.63952542651751554,1.0,0.71151922108226884
