,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,4,1,0
1,0,0,0,3,6,6,6,6,6,6,6,4,1
2,0,2,2,4,4,4,4,4,4,4,4,1,0
3,2,2,2,2,2,2,2,2,2,11,1,4,2
4,0,0,4,4,4,4,4,4,4,4,4,1,0
5,1,1,1,1,1,1,1,1,1,1,1,4,2
6,0,0,0,3,6,6,6,6,6,6,6,4,1
7,1,1,1,1,6,6,6,6,6,6,6,4,2
8,0,1,1,1,1,1,8,9,8,8,8,4,3
9,2,2,2,2,2,2,2,2,3,11,11,1,4
10,2,2,2,4,4,4,4,3,3,3,11,1,4
11,1,1,1,1,1,1,1,1,1,1,1,4,2
12,0,3,4,5,5,5,5,5,5,5,12,0,5
13,1,1,1,1,1,1,2,1,1,11,1,4,2
14,2,2,2,2,5,5,5,5,5,11,11,0,4
15,2,3,3,5,5,5,5,5,5,11,5,0,5
16,0,3,4,5,5,5,5,5,5,5,12,0,5
17,2,3,3,5,5,5,5,5,5,5,5,0,5
18,2,3,3,5,5,5,5,5,5,11,5,0,5
19,1,3,3,5,5,5,5,5,5,5,11,0,5
20,2,3,3,2,2,2,8,8,10,10,10,0,4
21,0,0,0,0,0,0,6,6,6,0,5,0,5
22,2,3,3,2,2,2,8,8,10,10,10,0,4
23,1,2,2,3,3,3,3,3,3,3,3,3,6
24,1,1,4,3,3,3,3,3,3,3,3,3,6
25,1,2,2,2,2,2,2,2,2,1,1,4,2
26,0,0,4,0,4,4,7,9,9,9,9,3,3
27,1,1,1,1,1,1,1,1,1,1,1,4,2
28,1,1,1,1,1,1,1,1,1,1,1,4,2
29,1,1,1,1,1,1,1,1,1,1,1,4,2
30,2,2,2,2,2,2,2,2,2,2,2,1,4
31,0,2,2,2,2,2,2,2,2,2,2,1,4
32,2,2,2,2,2,2,8,8,10,10,10,0,4
33,2,2,2,2,2,2,2,2,2,2,2,1,4
34,0,0,0,0,0,0,0,4,0,0,8,3,3
35,1,3,3,3,3,3,4,4,8,3,4,1,0
36,0,0,0,1,1,0,7,9,8,8,8,4,3
37,1,3,4,3,3,3,3,5,4,3,3,3,3
38,2,3,0,2,2,2,2,2,4,4,4,3,3
39,1,1,1,1,1,1,1,1,1,1,1,4,2
40,2,2,0,0,0,7,7,7,7,7,7,2,1
41,0,1,1,0,0,7,7,7,7,7,7,2,1
42,0,1,1,1,0,7,7,7,7,7,7,2,1
43,1,3,4,3,3,3,3,9,9,9,9,3,3
44,1,1,1,1,1,1,1,1,1,1,1,4,2
45,0,0,4,4,4,4,3,9,9,9,9,3,3
46,1,2,2,3,3,3,3,3,3,3,3,3,6
47,1,1,1,1,1,1,1,1,1,1,1,4,3
48,1,1,1,1,1,1,1,1,1,1,1,4,2
49,1,1,1,1,1,1,1,1,1,1,1,4,2
50,1,3,1,3,3,3,3,3,3,3,3,3,6
51,1,3,2,3,3,3,3,3,3,3,3,3,6
52,1,3,1,3,3,3,3,3,3,3,3,3,6
53,1,3,1,3,3,3,3,3,3,3,3,3,6
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.09091224921052857,0.08318660104907176,0.09582967917432472,0.12075405251594305,0.1307446323036442,0.12542777696628676,0.12219411631818555,0.11600675348533035,0.11797691848161876,0.11506817134577013,0.11267253729601877,0.14892363315548285,0.12577319153254318
NMI,0.21035085217249608,0.34572731318531841,0.35816950093642796,0.54170452459240759,0.62252985803675598,0.62342665462345281,0.66909998794759884,0.62366187240830118,0.65805953297869324,0.65661896957052823,0.73097756677243464,1.0,0.72150730531420459
