,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,1,3,3,3,3,3,8,8,3,0,
1,0,0,0,1,6,6,6,6,6,4,
2,0,3,3,3,3,3,3,3,7,0,
3,2,2,2,4,6,7,7,2,2,1,
4,0,3,3,3,3,3,8,8,3,0,
5,0,0,0,0,0,0,0,0,10,1,
6,0,0,0,0,6,6,6,6,6,4,
7,0,3,3,5,5,5,5,5,5,4,
8,1,1,3,5,5,5,5,5,5,4,
9,0,0,4,4,4,4,4,7,7,2,
10,2,3,3,3,3,3,3,3,7,1,
11,2,2,2,2,2,2,2,3,9,1,
12,2,3,3,2,2,2,3,3,7,1,
13,2,3,4,4,6,7,7,7,2,1,
14,2,2,2,2,2,7,7,2,2,1,
15,2,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,2,2,1,
22,2,2,2,2,2,2,2,2,2,1,
23,0,3,3,5,5,7,7,7,9,4,
24,1,1,1,1,1,1,1,1,1,3,
25,1,1,1,1,1,1,1,1,1,3,
26,2,2,2,4,6,7,7,2,9,1,
27,1,1,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,1,3,
30,1,1,4,4,4,4,4,4,4,2,
31,1,1,4,4,4,4,4,4,4,2,
32,1,1,4,4,4,4,4,4,4,2,
33,1,1,4,4,4,4,4,4,4,2,
34,1,1,1,1,1,1,1,1,1,3,
35,0,3,3,3,3,3,8,8,3,0,
36,1,1,1,5,5,5,5,5,5,4,
37,1,1,1,5,5,5,5,5,5,4,
38,1,3,1,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,9,8,3,
41,2,3,3,1,1,1,1,9,8,3,
42,1,1,1,1,1,1,1,1,1,3,
43,1,1,1,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,1,3,
47,1,1,1,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.11517865397334537,0.11182863544819713,0.11987095764283318,0.12095040929104768,0.12635637957252546,0.122147508237775,0.1168496466595411,0.10698083423596963,0.10404410087216798,0.1348460836493271,
NMI,0.56893797569590798,0.52367332373200504,0.67821921366270432,0.78920872352865423,0.85239643218379457,0.84200341750485996,0.82841112894125202,0.79482722035889408,0.78890973593961411,1.0,
Silhoutte,0.16430893,0.18177532,0.18008326,0.18144746,0.21498288,0.23704242,0.2622724,0.25815037,0.25616938,0.20118625,
